ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22821.99809778,22310.00915753997,24148.887019124515,22821.99809778,22821.99809778,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,0.0,0.0,0.0,23242.625754263787
2023-02-01,22803.316454910102,22419.615467261,24329.51562141682,22803.316454910102,22803.316454910102,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,0.0,0.0,0.0,23341.04490119969
2023-03-01,22786.44271263244,23918.60924950436,25794.336886764864,22786.44271263244,22786.44271263244,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,0.0,0.0,0.0,24887.947337899153
2023-04-01,22767.761070132674,21259.453266900517,23154.31077076414,22767.761070132674,22767.761070132674,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,0.0,0.0,0.0,22217.342625230853
2023-05-01,22749.682060815187,26062.196577613922,27883.382897372096,22749.682060815187,22749.682060815187,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,0.0,0.0,0.0,26887.68545339832
2023-06-01,22731.000417172687,21280.182547581055,23098.50866641356,22731.000417172687,22731.000417172687,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,0.0,0.0,0.0,22259.75731009521
2023-07-01,22712.92140703886,21405.007990446295,23271.9107733161,22712.92140703886,22712.92140703886,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,0.0,0.0,0.0,22360.983404345374
2023-08-01,22694.23976291281,17898.381818107064,19760.320007087095,22694.23976291281,22694.23976291281,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,0.0,0.0,0.0,18830.200255598545
2023-09-01,22675.558118584515,24207.75820629129,25992.567041354643,22675.558118584515,22675.558118584515,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,0.0,0.0,0.0,25076.11168267162
2023-10-01,22657.4791084595,18955.133164237417,20843.380199802137,22657.4791084595,22657.4791084595,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,0.0,0.0,0.0,19853.49618254293
