ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23562.665146759995,26088.397814616383,26490.549540332155,23562.665146759995,23562.665146759995,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,0.0,0.0,0.0,26299.263003711898
2023-02-01,23647.233760684387,22745.44662087755,23172.87628218138,23647.233760684387,23647.233760684387,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,0.0,0.0,0.0,22959.78192625228
2023-03-01,23723.618252810156,22047.63660326038,22492.871656133335,23723.618252810156,23723.618252810156,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,0.0,0.0,0.0,22269.135192613212
2023-04-01,23808.18680426727,24384.066527034734,24813.5618402638,23808.18680426727,23808.18680426727,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,0.0,0.0,0.0,24592.790311745215
2023-05-01,23890.027353453956,21536.268477210506,21956.19099585919,23890.027353453956,23890.027353453956,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,0.0,0.0,0.0,21747.021687705466
2023-06-01,23974.595912234814,23559.660644714953,24019.79989340046,23974.595912234814,23974.595912234814,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,0.0,0.0,0.0,23786.019741565582
2023-07-01,24056.436461805024,22943.773091707866,23360.32772343859,24056.436461805024,24056.436461805024,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,0.0,0.0,0.0,23154.7481107665
2023-08-01,24141.005013036665,20411.497780161517,20838.96927007399,24141.005013036665,24141.005013036665,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,0.0,0.0,0.0,20625.39655138684
2023-09-01,24225.57353824008,23268.63109303809,23688.13679518456,24225.57353824008,24225.57353824008,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,0.0,0.0,0.0,23478.415608219362
2023-10-01,24307.414029938464,24087.596323660062,24516.530834295,24307.414029938464,24307.414029938464,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,0.0,0.0,0.0,24313.234216320623
2023-11-01,24391.798971935266,20424.21565495319,20831.810152490547,24391.798971935266,24391.798971935266,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,0.0,0.0,0.0,20631.78213771288
2023-12-01,24333.44305787072,25038.66677831321,25447.40713365189,24333.44305787072,24333.44305787072,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,0.0,0.0,0.0,25240.267356357996
2024-01-01,24272.669292492992,26550.2450040748,26974.46220334826,24272.669292492992,24272.669292492992,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,0.0,0.0,0.0,26768.26740605974
2024-02-01,24211.285637116594,24633.438859161834,25053.194850718908,24211.285637116594,24211.285637116594,623.0361802578022,623.0361802578022,623.0361802578022,623.0361802578022,623.0361802578022,623.0361802578022,0.0,0.0,0.0,24834.321817374395
2024-03-01,24153.79696244906,24463.023794161625,24889.10644905503,24153.79696244906,24153.79696244906,521.4109858630702,521.4109858630702,521.4109858630702,521.4109858630702,521.4109858630702,521.4109858630702,0.0,0.0,0.0,24675.20794831213
2024-04-01,24092.343404609674,25792.134133282947,26216.738769961332,24092.343404609674,24092.343404609674,1908.2242554641832,1908.2242554641832,1908.2242554641832,1908.2242554641832,1908.2242554641832,1908.2242554641832,0.0,0.0,0.0,26000.567660073855
2024-05-01,24032.595504995148,20504.461827912637,20929.125302001827,24032.595504995148,24032.595504995148,-3314.3273946430436,-3314.3273946430436,-3314.3273946430436,-3314.3273946430436,-3314.3273946430436,-3314.3273946430436,0.0,0.0,0.0,20718.268110352103
2024-06-01,23970.194521365953,22375.758335769293,22774.946136327442,23970.194521365953,23970.194521365953,-1396.0745603354846,-1396.0745603354846,-1396.0745603354846,-1396.0745603354846,-1396.0745603354846,-1396.0745603354846,0.0,0.0,0.0,22574.11996103047
