ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23562.665146759995,26088.710565780486,26501.052612860225,23562.665146759995,23562.665146759995,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,2736.5978569519043,0.0,0.0,0.0,26299.263003711898
2023-02-01,23647.233760684387,22745.193227975007,23166.515482678158,23647.233760684387,23647.233760684387,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,-687.4518344321081,0.0,0.0,0.0,22959.78192625228
2023-03-01,23723.618252810156,22053.82314946034,22476.597780266966,23723.618252810156,23723.618252810156,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,-1454.4830601969454,0.0,0.0,0.0,22269.135192613212
2023-04-01,23808.18680426727,24363.496472517112,24798.19574229902,23808.18680426727,23808.18680426727,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,784.6035074779456,0.0,0.0,0.0,24592.790311745215
2023-05-01,23890.027353453956,21550.2571535733,21971.01175311544,23890.027353453956,23890.027353453956,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,-2143.0056657484884,0.0,0.0,0.0,21747.021687705466
2023-06-01,23974.595912234814,23575.668088986193,23991.935745240422,23974.595912234814,23974.595912234814,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,-188.57617066923171,0.0,0.0,0.0,23786.019741565582
2023-07-01,24056.436461805024,22948.23567609731,23368.25223567384,24056.436461805024,24056.436461805024,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,-901.688351038523,0.0,0.0,0.0,23154.7481107665
2023-08-01,24141.005013036665,20417.06669828466,20834.144947391807,24141.005013036665,24141.005013036665,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,-3515.6084616498283,0.0,0.0,0.0,20625.39655138684
2023-09-01,24225.57353824008,23270.29252672228,23678.324915322664,24225.57353824008,24225.57353824008,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,-747.1579300207192,0.0,0.0,0.0,23478.415608219362
2023-10-01,24307.414029938464,24116.125673555533,24499.683187464136,24307.414029938464,24307.414029938464,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,5.82018638215932,0.0,0.0,0.0,24313.234216320623
2023-11-01,24391.798971935266,20416.19067059257,20835.48706277495,24391.798971935266,24391.798971935266,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,-3760.016834222387,0.0,0.0,0.0,20631.78213771288
2023-12-01,24333.44305787072,25036.528207759835,25449.668625108046,24333.44305787072,24333.44305787072,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,906.8242984872738,0.0,0.0,0.0,25240.267356357996
2024-01-01,24272.669292492992,26554.226100127766,26966.399862777456,24272.669292492992,24272.669292492992,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,2495.598113566747,0.0,0.0,0.0,26768.26740605974
