ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23059.96162354,21900.545556995745,23873.148881016958,23059.96162354,23059.96162354,-161.94359975254082,-161.94359975254082,-161.94359975254082,-161.94359975254082,-161.94359975254082,-161.94359975254082,0.0,0.0,0.0,22898.01802378746
2023-02-01,22931.48505763663,22124.147491326985,24049.23904825223,22931.48505763663,22931.48505763663,167.69708682254736,167.69708682254736,167.69708682254736,167.69708682254736,167.69708682254736,167.69708682254736,0.0,0.0,0.0,23099.182144459177
2023-03-01,22815.441795668925,23134.12312966708,25094.920777982294,22815.441795668925,22815.441795668925,1343.8251140949349,1343.8251140949349,1343.8251140949349,1343.8251140949349,1343.8251140949349,1343.8251140949349,0.0,0.0,0.0,24159.26690976386
2023-04-01,22686.965336225294,21582.517042732175,23535.615356516082,22686.965336225294,22686.965336225294,-149.67438438195967,-149.67438438195967,-149.67438438195967,-149.67438438195967,-149.67438438195967,-149.67438438195967,0.0,0.0,0.0,22537.290951843333
2023-05-01,22562.633412494273,21448.47572081224,23362.545083098204,22562.633412494273,22562.633412494273,-125.60026329287513,-125.60026329287513,-125.60026329287513,-125.60026329287513,-125.60026329287513,-125.60026329287513,0.0,0.0,0.0,22437.033149201397
2023-06-01,22434.1571146756,21999.965273925784,23903.2111062136,22434.1571146756,22434.1571146756,534.4503677980008,534.4503677980008,534.4503677980008,534.4503677980008,534.4503677980008,534.4503677980008,0.0,0.0,0.0,22968.6074824736
2023-07-01,22309.825199089202,24398.21187067975,26198.556387452747,22309.825199089202,22309.825199089202,3064.5763000547217,3064.5763000547217,3064.5763000547217,3064.5763000547217,3064.5763000547217,3064.5763000547217,0.0,0.0,0.0,25374.401499143925
2023-08-01,22181.34897755055,20749.559566442636,22677.84367220898,22181.34897755055,22181.34897755055,-504.7060166700195,-504.7060166700195,-504.7060166700195,-504.7060166700195,-504.7060166700195,-504.7060166700195,0.0,0.0,0.0,21676.64296088053
2023-09-01,22052.91583779325,22048.742933599213,24037.97909545646,22052.91583779325,22052.91583779325,977.8218227143096,977.8218227143096,977.8218227143096,977.8218227143096,977.8218227143096,977.8218227143096,0.0,0.0,0.0,23030.73766050756
2023-10-01,21928.64447389556,22907.10501716811,24979.63210513554,21928.64447389556,21928.64447389556,2031.6026919823114,2031.6026919823114,2031.6026919823114,2031.6026919823114,2031.6026919823114,2031.6026919823114,0.0,0.0,0.0,23960.247165877874
2023-11-01,21800.33306703437,18159.757817800564,20070.672812766425,21800.33306703437,21800.33306703437,-2687.2378016877083,-2687.2378016877083,-2687.2378016877083,-2687.2378016877083,-2687.2378016877083,-2687.2378016877083,0.0,0.0,0.0,19113.095265346663
