ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22821.99809778,22297.86428448771,24175.24864150431,22821.99809778,22821.99809778,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,420.6276564837852,0.0,0.0,0.0,23242.625754263787
2023-02-01,22803.316454910102,22351.736453711932,24252.16408821986,22803.316454910102,22803.316454910102,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,537.7284462895861,0.0,0.0,0.0,23341.04490119969
2023-03-01,22786.44271263244,23976.2898371771,25767.261362951762,22786.44271263244,22786.44271263244,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,2101.5046252667107,0.0,0.0,0.0,24887.947337899153
2023-04-01,22767.761070132674,21236.697270115,23211.833277196456,22767.761070132674,22767.761070132674,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,-550.4184449018205,0.0,0.0,0.0,22217.342625230853
2023-05-01,22749.682060815187,25943.227179132726,27832.1844104026,22749.682060815187,22749.682060815187,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,4138.003392583136,0.0,0.0,0.0,26887.68545339832
2023-06-01,22731.000417172687,21265.813340458724,23254.566308784346,22731.000417172687,22731.000417172687,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,-471.2431070774773,0.0,0.0,0.0,22259.75731009521
2023-07-01,22712.92140703886,21452.23270458522,23379.19737313413,22712.92140703886,22712.92140703886,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,-351.9380026934841,0.0,0.0,0.0,22360.983404345374
2023-08-01,22694.23976291281,17894.453640548447,19746.554850762335,22694.23976291281,22694.23976291281,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,-3864.0395073142636,0.0,0.0,0.0,18830.200255598545
2023-09-01,22675.558118584515,24135.381895675757,26013.220778378938,22675.558118584515,22675.558118584515,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,2400.553564087105,0.0,0.0,0.0,25076.11168267162
2023-10-01,22657.4791084595,18918.398715437466,20832.981382886966,22657.4791084595,22657.4791084595,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,-2803.982925916572,0.0,0.0,0.0,19853.49618254293
2023-11-01,22638.79746398564,20588.464881137574,22506.228078444034,22638.79746398564,22638.79746398564,-1081.9335534609693,-1081.9335534609693,-1081.9335534609693,-1081.9335534609693,-1081.9335534609693,-1081.9335534609693,0.0,0.0,0.0,21556.86391052467
2023-12-01,22620.718453765247,24741.31822497123,26637.384282350977,22620.718453765247,22620.718453765247,3061.464357101859,3061.464357101859,3061.464357101859,3061.464357101859,3061.464357101859,3061.464357101859,0.0,0.0,0.0,25682.182810867107
2024-01-01,22602.036810299884,22504.167168747303,24346.143071150305,22602.036810299884,22602.036810299884,760.4231845654909,760.4231845654909,760.4231845654909,760.4231845654909,760.4231845654909,760.4231845654909,0.0,0.0,0.0,23362.459994865374
2024-02-01,22583.43606256321,21770.945204292988,23691.31534234081,22583.43606256321,22583.43606256321,163.3359734065129,163.3359734065129,163.3359734065129,163.3359734065129,163.3359734065129,163.3359734065129,0.0,0.0,0.0,22746.772035969723
2024-03-01,22566.217046638285,22522.646688709392,24362.716200044,22566.217046638285,22566.217046638285,882.0874564487755,882.0874564487755,882.0874564487755,882.0874564487755,882.0874564487755,882.0874564487755,0.0,0.0,0.0,23448.30450308706
2024-04-01,22548.067324908636,23921.98449097266,25727.278543285607,22548.067324908636,22548.067324908636,2377.956956248017,2377.956956248017,2377.956956248017,2377.956956248017,2377.956956248017,2377.956956248017,0.0,0.0,0.0,24926.024281156653
2024-05-01,22530.73287306756,21264.05072554327,23153.379704709027,22530.73287306756,22530.73287306756,-332.63395283403827,-332.63395283403827,-332.63395283403827,-332.63395283403827,-332.63395283403827,-332.63395283403827,0.0,0.0,0.0,22198.098920233522
2024-06-01,22512.84134970636,24188.148789556115,26046.19717687818,22512.84134970636,22512.84134970636,2566.496773842005,2566.496773842005,2566.496773842005,2566.496773842005,2566.496773842005,2566.496773842005,0.0,0.0,0.0,25079.338123548365
