ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,19551.658588979997,19770.87580941498,20880.981478444843,19551.658588979997,19551.658588979997,757.5317265624617,757.5317265624617,757.5317265624617,757.5317265624617,757.5317265624617,757.5317265624617,0.0,0.0,0.0,20309.19031554246
2023-02-01,20226.80682830043,22661.37791360654,23746.76505404785,20226.80682830043,20226.80682830043,2972.1768341050783,2972.1768341050783,2972.1768341050783,2972.1768341050783,2972.1768341050783,2972.1768341050783,0.0,0.0,0.0,23198.983662405506
2023-03-01,20836.618142782358,20762.164573535923,21891.162485240246,20836.618142782358,20836.618142782358,455.62698082941733,455.62698082941733,455.62698082941733,455.62698082941733,455.62698082941733,455.62698082941733,0.0,0.0,0.0,21292.245123611774
2023-04-01,21511.766385091538,21957.743265829562,23042.886272998712,21511.766385091538,21511.766385091538,972.2321742523734,972.2321742523734,972.2321742523734,972.2321742523734,972.2321742523734,972.2321742523734,0.0,0.0,0.0,22483.998559343912
2023-05-01,22164.88770862261,20273.20447341728,21422.17246945904,22164.88770862261,22164.88770862261,-1311.4236563005147,-1311.4236563005147,-1311.4236563005147,-1311.4236563005147,-1311.4236563005147,-1311.4236563005147,0.0,0.0,0.0,20853.464052322095
2023-06-01,22839.24674357518,23666.903641731136,24867.915916140748,22839.24674357518,22839.24674357518,1448.5834661534454,1448.5834661534454,1448.5834661534454,1448.5834661534454,1448.5834661534454,1448.5834661534454,0.0,0.0,0.0,24287.830209728625
2023-07-01,22806.84461866349,21727.244272098116,22871.070284141708,22806.84461866349,22806.84461866349,-524.063426391618,-524.063426391618,-524.063426391618,-524.063426391618,-524.063426391618,-524.063426391618,0.0,0.0,0.0,22282.781192271872
2023-08-01,22772.541356729933,20817.373042474537,22026.654229332857,22772.541356729933,22772.541356729933,-1325.3825265969201,-1325.3825265969201,-1325.3825265969201,-1325.3825265969201,-1325.3825265969201,-1325.3825265969201,0.0,0.0,0.0,21447.158830133012
2023-09-01,22738.064838235812,21444.359220051767,22639.422483591592,22738.064838235812,22738.064838235812,-725.6381412037945,-725.6381412037945,-725.6381412037945,-725.6381412037945,-725.6381412037945,-725.6381412037945,0.0,0.0,0.0,22012.426697032017
2023-10-01,22704.594907380506,20986.863417409022,22085.30869765896,22704.594907380506,22704.594907380506,-1159.4915608067818,-1159.4915608067818,-1159.4915608067818,-1159.4915608067818,-1159.4915608067818,-1159.4915608067818,0.0,0.0,0.0,21545.103346573724
2023-11-01,22669.64105563594,20955.010587834506,22088.929820215675,22669.64105563594,22669.64105563594,-1159.764779302676,-1159.764779302676,-1159.764779302676,-1159.764779302676,-1159.764779302676,-1159.764779302676,0.0,0.0,0.0,21509.876276333263
2023-12-01,22635.81470490605,24475.764457486865,25610.331963850866,22635.81470490605,22635.81470490605,2438.6161248880153,2438.6161248880153,2438.6161248880153,2438.6161248880153,2438.6161248880153,2438.6161248880153,0.0,0.0,0.0,25074.430829794066
2024-01-01,22600.860806545545,22637.150713106297,23756.447364634685,22600.860806545545,22600.860806545545,576.5632022569596,576.5632022569596,576.5632022569596,576.5632022569596,576.5632022569596,576.5632022569596,0.0,0.0,0.0,23177.424008802504
2024-02-01,22565.906905719792,24853.449609063224,25941.88724593221,22565.906905719792,22565.906905719792,2864.895628366161,2864.895628366161,2864.895628366161,2864.895628366161,2864.895628366161,2864.895628366161,0.0,0.0,0.0,25430.802534085953
2024-03-01,22533.208096777365,24109.63356922201,25197.400455130766,22533.208096777365,22533.208096777365,2128.7280436195233,2128.7280436195233,2128.7280436195233,2128.7280436195233,2128.7280436195233,2128.7280436195233,0.0,0.0,0.0,24661.936140396887
2024-04-01,22498.254200686177,21337.503569986144,22469.456454451,22498.254200686177,22498.254200686177,-602.9133927418102,-602.9133927418102,-602.9133927418102,-602.9133927418102,-602.9133927418102,-602.9133927418102,0.0,0.0,0.0,21895.340807944365
2024-05-01,22464.644375621505,21380.493934425365,22530.925303455937,22464.644375621505,22464.644375621505,-538.7673869740215,-538.7673869740215,-538.7673869740215,-538.7673869740215,-538.7673869740215,-538.7673869740215,0.0,0.0,0.0,21925.876988647484
2024-06-01,22429.961662477897,23976.14429039932,25049.477746949684,22429.961662477897,22429.961662477897,2085.7301455177485,2085.7301455177485,2085.7301455177485,2085.7301455177485,2085.7301455177485,2085.7301455177485,0.0,0.0,0.0,24515.691807995645
2024-07-01,22502.495353355884,18711.108705459716,19898.942269928455,22502.495353355884,22502.495353355884,-3192.6326967648743,-3192.6326967648743,-3192.6326967648743,-3192.6326967648743,-3192.6326967648743,-3192.6326967648743,0.0,0.0,0.0,19309.86265659101
2024-08-01,22577.67182458988,20791.905785526968,21949.904540956228,22577.67182458988,22577.67182458988,-1198.2764770256977,-1198.2764770256977,-1198.2764770256977,-1198.2764770256977,-1198.2764770256977,-1198.2764770256977,0.0,0.0,0.0,21379.395347564183
2024-09-01,22653.093143302856,23100.708039107285,24223.787284146027,22653.093143302856,22653.093143302856,995.8214113800212,995.8214113800212,995.8214113800212,995.8214113800212,995.8214113800212,995.8214113800212,0.0,0.0,0.0,23648.914554682877
2024-10-01,22726.110592955316,21594.672305993285,22732.519390382695,22726.110592955316,22726.110592955316,-554.6201097762165,-554.6201097762165,-554.6201097762165,-554.6201097762165,-554.6201097762165,-554.6201097762165,0.0,0.0,0.0,22171.4904831791
2024-11-01,22801.561957596194,22250.715475789508,23415.86768926405,22801.561957596194,22801.561957596194,24.82698596600024,24.82698596600024,24.82698596600024,24.82698596600024,24.82698596600024,24.82698596600024,0.0,0.0,0.0,22826.388943562193
