ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23758.1042699,23343.698427858028,25138.104840689266,23758.1042699,23758.1042699,481.5255648355419,481.5255648355419,481.5255648355419,481.5255648355419,481.5255648355419,481.5255648355419,0.0,0.0,0.0,24239.62983473554
2023-02-01,23677.73845363871,22149.326319909764,23980.489342898425,23677.73845363871,23677.73845363871,-635.1705729600837,-635.1705729600837,-635.1705729600837,-635.1705729600837,-635.1705729600837,-635.1705729600837,0.0,0.0,0.0,23042.567880678627
2023-03-01,23605.149974077365,19590.37504095445,21498.6879333489,23605.149974077365,23605.149974077365,-3086.192105608429,-3086.192105608429,-3086.192105608429,-3086.192105608429,-3086.192105608429,-3086.192105608429,0.0,0.0,0.0,20518.957868468937
2023-04-01,23524.784156646547,25493.944751710387,27362.44210497366,23524.784156646547,23524.784156646547,2882.0138906447096,2882.0138906447096,2882.0138906447096,2882.0138906447096,2882.0138906447096,2882.0138906447096,0.0,0.0,0.0,26406.798047291257
2023-05-01,23447.010784937404,23063.006351033444,24964.81060438877,23447.010784937404,23447.010784937404,582.4267502449189,582.4267502449189,582.4267502449189,582.4267502449189,582.4267502449189,582.4267502449189,0.0,0.0,0.0,24029.437535182322
2023-06-01,23366.644967843782,22312.091879578402,24294.10640764605,23366.644967843782,23366.644967843782,-142.40075675406376,-142.40075675406376,-142.40075675406376,-142.40075675406376,-142.40075675406376,-142.40075675406376,0.0,0.0,0.0,23224.244211089717
2023-07-01,23288.871596735495,23612.004258366564,25465.250502531417,23288.871596735495,23288.871596735495,1268.132427434634,1268.132427434634,1268.132427434634,1268.132427434634,1268.132427434634,1268.132427434634,0.0,0.0,0.0,24557.004024170128
2023-08-01,23208.50578066322,21701.451746038998,23483.94443753919,23208.50578066322,23208.50578066322,-593.397236584211,-593.397236584211,-593.397236584211,-593.397236584211,-593.397236584211,-593.397236584211,0.0,0.0,0.0,22615.108544079012
2023-09-01,23128.139965390645,23140.864442262115,24987.226890829792,23128.139965390645,23128.139965390645,925.1630724071348,925.1630724071348,925.1630724071348,925.1630724071348,925.1630724071348,925.1630724071348,0.0,0.0,0.0,24053.30303779778
2023-10-01,23050.366595433785,21717.08280762164,23706.976001113748,23050.366595433785,23050.366595433785,-303.2947484180691,-303.2947484180691,-303.2947484180691,-303.2947484180691,-303.2947484180691,-303.2947484180691,0.0,0.0,0.0,22747.071847015715
2023-11-01,22970.004129654317,19895.389444809953,21780.947434984282,22970.004129654317,22970.004129654317,-2115.234321313853,-2115.234321313853,-2115.234321313853,-2115.234321313853,-2115.234321313853,-2115.234321313853,0.0,0.0,0.0,20854.769808340465
2023-12-01,22892.29511734654,21691.78746416681,23531.938626551153,22892.29511734654,22892.29511734654,-316.11346212220576,-316.11346212220576,-316.11346212220576,-316.11346212220576,-316.11346212220576,-316.11346212220576,0.0,0.0,0.0,22576.181655224336
2024-01-01,22812.547111535056,22628.989389105398,24626.053466616842,22812.547111535056,22812.547111535056,770.2934790855317,770.2934790855317,770.2934790855317,770.2934790855317,770.2934790855317,770.2934790855317,0.0,0.0,0.0,23582.840590620588
2024-02-01,22732.92721237959,21006.942155986544,22816.131248311398,22732.92721237959,22732.92721237959,-789.6019878969767,-789.6019878969767,-789.6019878969767,-789.6019878969767,-789.6019878969767,-789.6019878969767,0.0,0.0,0.0,21943.32522448261
2024-03-01,22660.293865337753,21444.24105111503,23248.630400877995,22660.293865337753,22660.293865337753,-322.26925399079346,-322.26925399079346,-322.26925399079346,-322.26925399079346,-322.26925399079346,-322.26925399079346,0.0,0.0,0.0,22338.02461134696
2024-04-01,22624.195874034314,20311.712842381083,22121.584864955097,22624.195874034314,22624.195874034314,-1440.8746874257292,-1440.8746874257292,-1440.8746874257292,-1440.8746874257292,-1440.8746874257292,-1440.8746874257292,0.0,0.0,0.0,21183.321186608584
2024-05-01,22589.540998576944,21838.28814939234,23736.49532247722,22589.540998576944,22589.540998576944,219.32075737431276,219.32075737431276,219.32075737431276,219.32075737431276,219.32075737431276,219.32075737431276,0.0,0.0,0.0,22808.861755951257
2024-06-01,22554.268043995824,24367.324187397095,26215.20955324826,22554.268043995824,22554.268043995824,2728.8381670665126,2728.8381670665126,2728.8381670665126,2728.8381670665126,2728.8381670665126,2728.8381670665126,0.0,0.0,0.0,25283.106211062335
2024-07-01,22520.17685801425,23024.69043203754,24815.15958563082,22520.17685801425,22520.17685801425,1373.071427888263,1373.071427888263,1373.071427888263,1373.071427888263,1373.071427888263,1373.071427888263,0.0,0.0,0.0,23893.24828590251
2024-08-01,22484.949376874818,20334.451165726536,22136.403304412648,22484.949376874818,22484.949376874818,-1235.28470382725,-1235.28470382725,-1235.28470382725,-1235.28470382725,-1235.28470382725,-1235.28470382725,0.0,0.0,0.0,21249.66467304757
2024-09-01,22449.721899104505,21953.636426160523,23863.54366486046,22449.721899104505,22449.721899104505,392.00442676626795,392.00442676626795,392.00442676626795,392.00442676626795,392.00442676626795,392.00442676626795,0.0,0.0,0.0,22841.72632587077
2024-10-01,22415.63079145647,20279.83160525877,22205.17175785002,22415.63079145647,22415.63079145647,-1183.1528022135888,-1183.1528022135888,-1183.1528022135888,-1183.1528022135888,-1183.1528022135888,-1183.1528022135888,0.0,0.0,0.0,21232.47798924288
2024-11-01,22380.4033135535,20824.84405211595,22678.16269600817,22380.4033135535,22380.4033135535,-614.980322912841,-614.980322912841,-614.980322912841,-614.980322912841,-614.980322912841,-614.980322912841,0.0,0.0,0.0,21765.422990640658
2024-12-01,22346.312205905462,20705.36135087592,22563.948410573204,22346.312205905462,22346.312205905462,-710.8909769654292,-710.8909769654292,-710.8909769654292,-710.8909769654292,-710.8909769654292,-710.8909769654292,0.0,0.0,0.0,21635.42122894003
2025-01-01,22311.084728002494,21275.517348607176,23072.042027066298,22311.084728002494,22311.084728002494,-112.60356080937272,-112.60356080937272,-112.60356080937272,-112.60356080937272,-112.60356080937272,-112.60356080937272,0.0,0.0,0.0,22198.48116719312
2025-02-01,22275.857250099525,21001.148438408938,22787.640684198555,22275.857250099525,22275.857250099525,-362.8007818332355,-362.8007818332355,-362.8007818332355,-362.8007818332355,-362.8007818332355,-362.8007818332355,0.0,0.0,0.0,21913.056468266288
2025-03-01,22244.038882961355,20022.990743808678,21900.96821330595,22244.038882961355,22244.038882961355,-1267.0058523160749,-1267.0058523160749,-1267.0058523160749,-1267.0058523160749,-1267.0058523160749,-1267.0058523160749,0.0,0.0,0.0,20977.03303064528
2025-03-31,22209.94777531332,27096.010665192094,28918.55609607175,22208.498384481438,22211.362469104908,5816.021318953162,5816.021318953162,5816.021318953162,5816.021318953162,5816.021318953162,5816.021318953162,0.0,0.0,0.0,28025.969094266482
2025-04-30,22175.856667665284,21893.961317859066,23761.865840182665,22171.15248297455,22180.53421392711,671.9985314443255,671.9985314443255,671.9985314443255,671.9985314443255,671.9985314443255,671.9985314443255,0.0,0.0,0.0,22847.85519910961
2025-05-31,22140.629189762312,19069.122537487157,20970.003274069983,22132.03982075999,22150.18570901934,-2090.9328741028417,-2090.9328741028417,-2090.9328741028417,-2090.9328741028417,-2090.9328741028417,-2090.9328741028417,0.0,0.0,0.0,20049.696315659472
2025-06-30,22106.53808211428,22412.866827189722,24274.942632499686,22093.45315894718,22121.907610155256,1276.6625583480543,1276.6625583480543,1276.6625583480543,1276.6625583480543,1276.6625583480543,1276.6625583480543,0.0,0.0,0.0,23383.20064046233
2025-07-31,22071.310604211307,20971.03332243509,22885.42451932408,22052.536582386267,22092.232702913476,-121.22942027356386,-121.22942027356386,-121.22942027356386,-121.22942027356386,-121.22942027356386,-121.22942027356386,0.0,0.0,0.0,21950.081183937742
2025-08-31,22036.08312630834,22415.48884838665,24212.40633010436,22011.350696868532,22064.26510503499,1283.7334079459465,1283.7334079459465,1283.7334079459465,1283.7334079459465,1283.7334079459465,1283.7334079459465,0.0,0.0,0.0,23319.816534254285
2025-09-30,22001.9920186603,21371.232058144655,23141.87999945301,21969.94128613214,22038.36577622405,234.59896229421085,234.59896229421085,234.59896229421085,234.59896229421085,234.59896229421085,234.59896229421085,0.0,0.0,0.0,22236.590980954512
2025-10-31,21966.764540757333,17910.637892508843,19800.810147441654,21926.75988371497,22011.886618761375,-3128.4783749572352,-3128.4783749572352,-3128.4783749572352,-3128.4783749572352,-3128.4783749572352,-3128.4783749572352,0.0,0.0,0.0,18838.2861658001
2025-11-30,21932.673433109296,20978.567824592934,22833.845361676784,21883.874703568352,21988.008675221023,-17.498555667788935,-17.498555667788935,-17.498555667788935,-17.498555667788935,-17.498555667788935,-17.498555667788935,0.0,0.0,0.0,21915.174877441506
2025-12-31,21897.445955206327,22261.39992833927,24202.42907776444,21838.10480983791,21963.282315209573,1329.838245527327,1329.838245527327,1329.838245527327,1329.838245527327,1329.838245527327,1329.838245527327,0.0,0.0,0.0,23227.284200733655
2026-01-31,21862.218477303355,19805.139649720488,21630.020559769375,21794.295193711503,21938.58187662552,-1133.1779501118126,-1133.1779501118126,-1133.1779501118126,-1133.1779501118126,-1133.1779501118126,-1133.1779501118126,0.0,0.0,0.0,20729.040527191544
2026-02-28,21830.40011016519,15234.693492263072,17118.760442435687,21753.6219163615,21917.77687322448,-5629.479595222214,-5629.479595222214,-5629.479595222214,-5629.479595222214,-5629.479595222214,-5629.479595222214,0.0,0.0,0.0,16200.920514942974
