ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22014.4614004,22758.414303704336,24471.04614547211,22014.4614004,22014.4614004,1634.5429038028915,1634.5429038028915,1634.5429038028915,1634.5429038028915,1634.5429038028915,1634.5429038028915,0.0,0.0,0.0,23649.004304202892
2023-02-01,22027.804148648192,22397.19608803517,24043.433576512347,22027.804148648192,22027.804148648192,1177.2195590915421,1177.2195590915421,1177.2195590915421,1177.2195590915421,1177.2195590915421,1177.2195590915421,0.0,0.0,0.0,23205.023707739736
2023-03-01,22039.85566298471,20948.005382873827,22693.146151627563,22039.85566298471,22039.85566298471,-247.3943605101269,-247.3943605101269,-247.3943605101269,-247.3943605101269,-247.3943605101269,-247.3943605101269,0.0,0.0,0.0,21792.461302474585
2023-04-01,22053.19841080728,22166.890492393566,23837.881942567274,22053.19841080728,22053.19841080728,919.7974325662324,919.7974325662324,919.7974325662324,919.7974325662324,919.7974325662324,919.7974325662324,0.0,0.0,0.0,22972.995843373512
2023-05-01,22066.110747186627,22734.4752328968,24393.141437838844,22066.110747186627,22066.110747186627,1514.015675986253,1514.015675986253,1514.015675986253,1514.015675986253,1514.015675986253,1514.015675986253,0.0,0.0,0.0,23580.12642317288
2023-06-01,22079.453493742112,20410.37919984102,22155.277542911903,22079.453493742112,22079.453493742112,-847.1051328045158,-847.1051328045158,-847.1051328045158,-847.1051328045158,-847.1051328045158,-847.1051328045158,0.0,0.0,0.0,21232.348360937598
2023-07-01,22092.333773359533,19966.176759640515,21610.424484535244,22092.333773359533,22092.333773359533,-1303.2266272984837,-1303.2266272984837,-1303.2266272984837,-1303.2266272984837,-1303.2266272984837,-1303.2266272984837,0.0,0.0,0.0,20789.107146061047
2023-08-01,22105.643395389983,23227.461536791205,24882.91979532646,22105.643395389983,22105.643395389983,1973.9382452431469,1973.9382452431469,1973.9382452431469,1973.9382452431469,1973.9382452431469,1973.9382452431469,0.0,0.0,0.0,24079.58164063313
2023-09-01,22118.953017496387,20626.874052850584,22196.893319269133,22118.953017496387,22118.953017496387,-693.0833492745196,-693.0833492745196,-693.0833492745196,-693.0833492745196,-693.0833492745196,-693.0833492745196,0.0,0.0,0.0,21425.86966822187
2023-10-01,22131.832692022545,25162.78676371901,26809.60335877561,22131.832692022545,22131.832692022545,3850.6435524452168,3850.6435524452168,3850.6435524452168,3850.6435524452168,3850.6435524452168,3850.6435524452168,0.0,0.0,0.0,25982.47624446776
2023-11-01,22145.14168864623,21654.952166982497,23359.85640891607,22145.14168864623,22145.14168864623,354.6181723493528,354.6181723493528,354.6181723493528,354.6181723493528,354.6181723493528,354.6181723493528,0.0,0.0,0.0,22499.759860995582
2023-12-01,22158.021362541218,23104.546099163283,24733.172662709432,22158.021362541218,22158.021362541218,1838.6205561672425,1838.6205561672425,1838.6205561672425,1838.6205561672425,1838.6205561672425,1838.6205561672425,0.0,0.0,0.0,23996.64191870846
2024-01-01,22171.33035790208,22079.757865388332,23711.724434665288,22171.33035790208,22171.33035790208,712.7298871871091,712.7298871871091,712.7298871871091,712.7298871871091,712.7298871871091,712.7298871871091,0.0,0.0,0.0,22884.06024508919
2024-02-01,22184.61591622065,22020.380090380582,23603.039523745712,22184.61591622065,22184.61591622065,630.5987659854213,630.5987659854213,630.5987659854213,630.5987659854213,630.5987659854213,630.5987659854213,0.0,0.0,0.0,22815.21468220607
2024-03-01,22197.044340600092,19947.302934600302,21588.417194416143,22197.044340600092,22197.044340600092,-1424.06961549878,-1424.06961549878,-1424.06961549878,-1424.06961549878,-1424.06961549878,-1424.06961549878,0.0,0.0,0.0,20772.97472510131
2024-04-01,22210.329897339612,22462.10082689074,24242.100597209752,22210.329897339612,22210.329897339612,1169.7326786393314,1169.7326786393314,1169.7326786393314,1169.7326786393314,1169.7326786393314,1169.7326786393314,0.0,0.0,0.0,23380.062575978944
2024-05-01,22223.18688775861,20881.28534677603,22462.28369256762,22223.18688775861,22223.18688775861,-555.9193548214631,-555.9193548214631,-555.9193548214631,-555.9193548214631,-555.9193548214631,-555.9193548214631,0.0,0.0,0.0,21667.267532937145
2024-06-01,22236.472444565563,20838.40316777298,22476.40674277201,22236.472444565563,22236.472444565563,-552.8791835001375,-552.8791835001375,-552.8791835001375,-552.8791835001375,-552.8791835001375,-552.8791835001375,0.0,0.0,0.0,21683.593261065427
2024-07-01,22249.329434861334,22207.304558126223,23879.639493765942,22249.329434861334,22249.329434861334,764.065223132945,764.065223132945,764.065223132945,764.065223132945,764.065223132945,764.065223132945,0.0,0.0,0.0,23013.39465799428
2024-08-01,22262.61499122605,21014.927155485788,22604.5212227412,22262.61499122605,22262.61499122605,-425.09410306930795,-425.09410306930795,-425.09410306930795,-425.09410306930795,-425.09410306930795,-425.09410306930795,0.0,0.0,0.0,21837.520888156745
2024-09-01,22275.90054762168,24441.52167748367,26170.71451577118,22275.90054762168,22275.90054762168,3016.7003131756087,3016.7003131756087,3016.7003131756087,3016.7003131756087,3016.7003131756087,3016.7003131756087,0.0,0.0,0.0,25292.60086079729
2024-10-01,22288.75753749031,23378.476506320792,25037.84752829591,22288.75753749031,22288.75753749031,1902.6943440302634,1902.6943440302634,1902.6943440302634,1902.6943440302634,1902.6943440302634,1902.6943440302634,0.0,0.0,0.0,24191.451881520574
2024-11-01,22302.04309368789,21689.238300023735,23371.6379792358,22302.04309368789,22302.04309368789,257.5362685961143,257.5362685961143,257.5362685961143,257.5362685961143,257.5362685961143,257.5362685961143,0.0,0.0,0.0,22559.579362284006
2024-12-01,22314.900083556517,20302.62685892044,21922.58150792248,22314.900083556517,22314.900083556517,-1241.7655756778206,-1241.7655756778206,-1241.7655756778206,-1241.7655756778206,-1241.7655756778206,-1241.7655756778206,0.0,0.0,0.0,21073.134507878694
2025-01-01,22328.185639754098,24899.236779919647,26519.536985100847,22328.185639754098,22328.185639754098,3406.6023832231094,3406.6023832231094,3406.6023832231094,3406.6023832231094,3406.6023832231094,3406.6023832231094,0.0,0.0,0.0,25734.788022977205
2025-02-01,22341.47119595168,23887.067222691607,25503.986022334513,22341.47119595168,22341.47119595168,2301.6813019134056,2301.6813019134056,2301.6813019134056,2301.6813019134056,2301.6813019134056,2301.6813019134056,0.0,0.0,0.0,24643.152497865085
2025-03-01,22353.4710531624,20480.325519518658,22138.903540012285,22353.4710531624,22353.4710531624,-1044.1976193335215,-1044.1976193335215,-1044.1976193335215,-1044.1976193335215,-1044.1976193335215,-1044.1976193335215,0.0,0.0,0.0,21309.27343382888
2025-03-31,22366.32804303103,22291.23829424347,23887.055209797105,22366.32630855437,22366.329988837635,784.4827698420826,784.4827698420826,784.4827698420826,784.4827698420826,784.4827698420826,784.4827698420826,0.0,0.0,0.0,23150.81081287311
2025-04-30,22379.18503289965,24388.08176520648,26057.322458393402,22379.17915084047,22379.191331589358,2865.3927150005266,2865.3927150005266,2865.3927150005266,2865.3927150005266,2865.3927150005266,2865.3927150005266,0.0,0.0,0.0,25244.577747900177
2025-05-31,22392.470589097236,20375.767269327338,22075.27332759466,22392.459353869264,22392.482899447692,-1134.0038022496813,-1134.0038022496813,-1134.0038022496813,-1134.0038022496813,-1134.0038022496813,-1134.0038022496813,0.0,0.0,0.0,21258.466786847555
2025-06-30,22405.327578965862,18951.33395126556,20557.55563035988,22405.310309321765,22405.34622328356,-2652.920453935304,-2652.920453935304,-2652.920453935304,-2652.920453935304,-2652.920453935304,-2652.920453935304,0.0,0.0,0.0,19752.407125030557
2025-07-31,22418.613135163443,25089.129010452543,26784.28647529408,22418.58858796786,22418.63945836032,3546.83278896731,3546.83278896731,3546.83278896731,3546.83278896731,3546.83278896731,3546.83278896731,0.0,0.0,0.0,25965.445924130752
2025-08-31,22431.898691361024,18459.39990899166,20106.644463156652,22431.86547862982,22431.934692540417,-3148.6630365843644,-3148.6630365843644,-3148.6630365843644,-3148.6630365843644,-3148.6630365843644,-3148.6630365843644,0.0,0.0,0.0,19283.23565477666
