ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,20921.63242965,22507.21559756246,23111.673711728617,20921.63242965,20921.63242965,1890.6373852395059,1890.6373852395059,1890.6373852395059,1890.6373852395059,1890.6373852395059,1890.6373852395059,0.0,0.0,0.0,22812.269814889503
2023-02-01,21345.284311832507,22094.026317842927,22697.161129677042,21345.284311832507,21345.284311832507,1048.1318867975385,1048.1318867975385,1048.1318867975385,1048.1318867975385,1048.1318867975385,1048.1318867975385,0.0,0.0,0.0,22393.416198630046
2023-03-01,21727.93762512883,23635.718285294523,24250.28897274615,21727.93762512883,21727.93762512883,2228.0599887768863,2228.0599887768863,2228.0599887768863,2228.0599887768863,2228.0599887768863,2228.0599887768863,0.0,0.0,0.0,23955.997613905718
2023-04-01,22151.589506849574,21286.55163515151,21917.265512889677,22151.589506849574,22151.589506849574,-549.2019684052095,-549.2019684052095,-549.2019684052095,-549.2019684052095,-549.2019684052095,-549.2019684052095,0.0,0.0,0.0,21602.387538444364
2023-05-01,22561.539817094017,24795.506384383243,25411.883944754736,22561.539817094017,22561.539817094017,2519.398426744366,2519.398426744366,2519.398426744366,2519.398426744366,2519.398426744366,2519.398426744366,0.0,0.0,0.0,25080.938243838384
2023-06-01,22984.66094984311,21149.25545325194,21750.057795903755,22984.66094984311,22984.66094984311,-1537.2904415632988,-1537.2904415632988,-1537.2904415632988,-1537.2904415632988,-1537.2904415632988,-1537.2904415632988,0.0,0.0,0.0,21447.37050827981
2023-07-01,22921.632301182963,23833.103611050803,24423.346286614866,22921.632301182963,22921.632301182963,1214.377478247393,1214.377478247393,1214.377478247393,1214.377478247393,1214.377478247393,1214.377478247393,0.0,0.0,0.0,24136.009779430355
2023-08-01,22856.226164733976,22741.175585234258,23352.56252620367,22856.226164733976,22856.226164733976,201.10651385499597,201.10651385499597,201.10651385499597,201.10651385499597,201.10651385499597,201.10651385499597,0.0,0.0,0.0,23057.332678588973
2023-09-01,22790.817886297187,21062.71892017976,21673.431300738568,22790.817886297187,22790.817886297187,-1431.6436519466138,-1431.6436519466138,-1431.6436519466138,-1431.6436519466138,-1431.6436519466138,-1431.6436519466138,0.0,0.0,0.0,21359.174234350572
2023-10-01,22727.519539872465,23397.89578739447,24017.767809002733,22727.519539872465,22727.519539872465,971.1920837104312,971.1920837104312,971.1920837104312,971.1920837104312,971.1920837104312,971.1920837104312,0.0,0.0,0.0,23698.711623582894
2023-11-01,22662.111247460754,20482.8670630373,21112.837053820505,22662.111247460754,22662.111247460754,-1852.1366730300276,-1852.1366730300276,-1852.1366730300276,-1852.1366730300276,-1852.1366730300276,-1852.1366730300276,0.0,0.0,0.0,20809.974574430726
