ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22953.254720699995,21539.570999433396,23561.97774436067,22953.254720699995,22953.254720699995,-436.90405886428624,-436.90405886428624,-436.90405886428624,-436.90405886428624,-436.90405886428624,-436.90405886428624,0.0,0.0,0.0,22516.35066183571
2023-02-01,22976.665363048058,23180.97983460211,25204.394169474333,22976.665363048058,22976.665363048058,1176.041842298392,1176.041842298392,1176.041842298392,1176.041842298392,1176.041842298392,1176.041842298392,0.0,0.0,0.0,24152.70720534645
2023-03-01,22997.810459406075,22884.33317047732,24724.246048716715,22997.810459406075,22997.810459406075,835.2907952422142,835.2907952422142,835.2907952422142,835.2907952422142,835.2907952422142,835.2907952422142,0.0,0.0,0.0,23833.10125464829
2023-04-01,23021.22110219318,21447.23159864867,23418.313256914702,23021.22110219318,23021.22110219318,-562.726311433171,-562.726311433171,-562.726311433171,-562.726311433171,-562.726311433171,-562.726311433171,0.0,0.0,0.0,22458.494790760007
2023-05-01,23043.87656259337,23952.989097796104,25836.88843710223,23043.87656259337,23043.87656259337,1901.8809358232759,1901.8809358232759,1901.8809358232759,1901.8809358232759,1901.8809358232759,1901.8809358232759,0.0,0.0,0.0,24945.757498416646
2023-06-01,23067.287205167548,24255.549669534073,26146.303165890153,23067.287205167548,23067.287205167548,2128.079876455497,2128.079876455497,2128.079876455497,2128.079876455497,2128.079876455497,2128.079876455497,0.0,0.0,0.0,25195.367081623044
2023-07-01,23089.942665321913,23381.223599885925,25297.416714491486,23089.942665321913,23089.942665321913,1211.8196843108149,1211.8196843108149,1211.8196843108149,1211.8196843108149,1211.8196843108149,1211.8196843108149,0.0,0.0,0.0,24301.76234963273
2023-08-01,23113.316345361927,22863.90526911712,24760.251251185786,23113.316345361927,23113.316345361927,677.2144510479008,677.2144510479008,677.2144510479008,677.2144510479008,677.2144510479008,677.2144510479008,0.0,0.0,0.0,23790.53079640983
2023-09-01,23135.952721664096,21190.395217218174,23151.928579704698,23135.952721664096,23135.952721664096,-1001.3296249355865,-1001.3296249355865,-1001.3296249355865,-1001.3296249355865,-1001.3296249355865,-1001.3296249355865,0.0,0.0,0.0,22134.62309672851
2023-10-01,23157.21117534096,21506.648136373326,23443.82803264805,23157.21117534096,23157.21117534096,-748.3006982208614,-748.3006982208614,-748.3006982208614,-748.3006982208614,-748.3006982208614,-748.3006982208614,0.0,0.0,0.0,22408.9104771201
2023-11-01,23099.203842448434,23605.109420666748,25523.928725282418,23099.203842448434,23099.203842448434,1450.210879879195,1450.210879879195,1450.210879879195,1450.210879879195,1450.210879879195,1450.210879879195,0.0,0.0,0.0,24549.41472232763
2023-12-01,23042.806508525413,24559.35534694359,26485.232696419374,23042.806508525413,23042.806508525413,2451.8942267061993,2451.8942267061993,2451.8942267061993,2451.8942267061993,2451.8942267061993,2451.8942267061993,0.0,0.0,0.0,25494.700735231614
2024-01-01,22984.095692552157,20923.185883769333,22789.600696682162,22984.095692552157,22984.095692552157,-1104.6303926045457,-1104.6303926045457,-1104.6303926045457,-1104.6303926045457,-1104.6303926045457,-1104.6303926045457,0.0,0.0,0.0,21879.46529994761
2024-02-01,22925.181707080486,22777.725475474377,24720.05038485494,22925.181707080486,22925.181707080486,798.8480767324385,798.8480767324385,798.8480767324385,798.8480767324385,798.8480767324385,798.8480767324385,0.0,0.0,0.0,23724.029783812926
2024-03-01,22869.673885527656,21665.62137709456,23570.74381406826,22869.673885527656,22869.673885527656,-229.95558082572362,-229.95558082572362,-229.95558082572362,-229.95558082572362,-229.95558082572362,-229.95558082572362,0.0,0.0,0.0,22639.71830470193
2024-04-01,22809.89042750124,24266.02264202151,26263.8708177892,22809.89042750124,22809.89042750124,2457.376591943217,2457.376591943217,2457.376591943217,2457.376591943217,2457.376591943217,2457.376591943217,0.0,0.0,0.0,25267.267019444458
2024-05-01,22751.558135165484,20035.511150815502,21935.731472491374,22751.558135165484,22751.558135165484,-1754.6786760526088,-1754.6786760526088,-1754.6786760526088,-1754.6786760526088,-1754.6786760526088,-1754.6786760526088,0.0,0.0,0.0,20996.879459112875
2024-06-01,22691.254408130964,23594.98580312594,25581.727691775537,22691.254408130964,22691.254408130964,1894.8712692750607,1894.8712692750607,1894.8712692750607,1894.8712692750607,1894.8712692750607,1894.8712692750607,0.0,0.0,0.0,24586.125677406024
2024-07-01,22632.89591795326,22736.819180609185,24647.073217157733,22632.89591795326,22632.89591795326,1050.05960841921,1050.05960841921,1050.05960841921,1050.05960841921,1050.05960841921,1050.05960841921,0.0,0.0,0.0,23682.955526372472
2024-08-01,22572.59214467395,22010.804172169952,24028.247039661423,22572.59214467395,22572.59214467395,409.77342860825155,409.77342860825155,409.77342860825155,409.77342860825155,409.77342860825155,409.77342860825155,0.0,0.0,0.0,22982.3655732822
2024-09-01,22512.288371022536,25156.71874390896,27122.05615175005,22512.288371022536,22512.288371022536,3680.8156226956344,3680.8156226956344,3680.8156226956344,3680.8156226956344,3680.8156226956344,3680.8156226956344,0.0,0.0,0.0,26193.10399371817
2024-10-01,22453.92988077386,19591.780222780486,21486.024106313766,22453.92988077386,22453.92988077386,-1886.2695763832105,-1886.2695763832105,-1886.2695763832105,-1886.2695763832105,-1886.2695763832105,-1886.2695763832105,0.0,0.0,0.0,20567.66030439065
2024-11-01,22393.626107516895,19989.92030166404,21916.133016116848,22393.626107516895,22393.626107516895,-1414.8283997939811,-1414.8283997939811,-1414.8283997939811,-1414.8283997939811,-1414.8283997939811,-1414.8283997939811,0.0,0.0,0.0,20978.797707722915
2024-12-01,22335.267617268222,22396.703042868558,24300.098543322405,22335.267617268222,22335.267617268222,997.2084696379636,997.2084696379636,997.2084696379636,997.2084696379636,997.2084696379636,997.2084696379636,0.0,0.0,0.0,23332.476086906187
