ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,21697.26148596,21718.45200993014,23100.431891964472,21697.26148596,21697.26148596,708.9504060389954,708.9504060389954,708.9504060389954,708.9504060389954,708.9504060389954,708.9504060389954,0.0,0.0,0.0,22406.211891998995
2023-02-01,21871.12347245681,20121.850731038117,21512.41231827894,21871.12347245681,21871.12347245681,-1054.837644333647,-1054.837644333647,-1054.837644333647,-1054.837644333647,-1054.837644333647,-1054.837644333647,0.0,0.0,0.0,20816.285828123164
2023-03-01,22028.160111443613,21679.713250224508,23073.98123384791,22028.160111443613,22028.160111443613,360.50673382919524,360.50673382919524,360.50673382919524,360.50673382919524,360.50673382919524,360.50673382919524,0.0,0.0,0.0,22388.666845272808
2023-04-01,22202.022084442044,24347.815960946522,25706.213277279378,22202.022084442044,22202.022084442044,2822.267718018235,2822.267718018235,2822.267718018235,2822.267718018235,2822.267718018235,2822.267718018235,0.0,0.0,0.0,25024.28980246028
2023-05-01,22370.275589034005,21972.315179547673,23357.04633902487,22370.275589034005,22370.275589034005,309.46420258497625,309.46420258497625,309.46420258497625,309.46420258497625,309.46420258497625,309.46420258497625,0.0,0.0,0.0,22679.73979161898
2023-06-01,22544.137535883052,19465.919757415366,20882.552053745843,22544.137535883052,22544.137535883052,-2387.7492146876907,-2387.7492146876907,-2387.7492146876907,-2387.7492146876907,-2387.7492146876907,-2387.7492146876907,0.0,0.0,0.0,20156.38832119536
2023-07-01,22712.3717666435,20175.1314690979,21570.894618455066,22712.3717666435,22712.3717666435,-1834.1028803994745,-1834.1028803994745,-1834.1028803994745,-1834.1028803994745,-1834.1028803994745,-1834.1028803994745,0.0,0.0,0.0,20878.268886244026
2023-08-01,22886.09196942987,22007.67733262304,23383.524966438392,22886.09196942987,22886.09196942987,-216.89052789421007,-216.89052789421007,-216.89052789421007,-216.89052789421007,-216.89052789421007,-216.89052789421007,0.0,0.0,0.0,22669.201441535657
2023-09-01,23059.77234306086,21559.614595718547,22952.20555480548,23059.77234306086,23059.77234306086,-835.5123906270787,-835.5123906270787,-835.5123906270787,-835.5123906270787,-835.5123906270787,-835.5123906270787,0.0,0.0,0.0,22224.259952433782
2023-10-01,23227.82384634261,25633.43089686832,26977.122673081536,23227.82384634261,23227.82384634261,3092.076797615335,3092.076797615335,3092.076797615335,3092.076797615335,3092.076797615335,3092.076797615335,0.0,0.0,0.0,26319.900643957946
2023-11-01,23401.465105765485,25054.09224468886,26448.865554732816,23401.465105765485,23401.465105765485,2348.616862694685,2348.616862694685,2348.616862694685,2348.616862694685,2348.616862694685,2348.616862694685,0.0,0.0,0.0,25750.08196846017
2023-12-01,23569.123195777276,24360.39375512722,25767.27733673094,23569.123195777276,23569.123195777276,1499.4892506786127,1499.4892506786127,1499.4892506786127,1499.4892506786127,1499.4892506786127,1499.4892506786127,0.0,0.0,0.0,25068.61244645589
2024-01-01,23453.175783796974,22177.919974572655,23614.126057136174,23453.175783796974,23453.175783796974,-562.4705073922369,-562.4705073922369,-562.4705073922369,-562.4705073922369,-562.4705073922369,-562.4705073922369,0.0,0.0,0.0,22890.705276404737
2024-02-01,23336.81584518916,21423.910583932844,22817.931048948503,23336.81584518916,23336.81584518916,-1196.8238255613126,-1196.8238255613126,-1196.8238255613126,-1196.8238255613126,-1196.8238255613126,-1196.8238255613126,0.0,0.0,0.0,22139.992019627847
2024-03-01,23227.803197284382,20200.61783513725,21615.74201103765,23227.803197284382,23227.803197284382,-2331.587747293693,-2331.587747293693,-2331.587747293693,-2331.587747293693,-2331.587747293693,-2331.587747293693,0.0,0.0,0.0,20896.21544999069
2024-04-01,23111.234824560415,23459.33795388203,24817.968188384883,23111.234824560415,23111.234824560415,1022.240632378726,1022.240632378726,1022.240632378726,1022.240632378726,1022.240632378726,1022.240632378726,0.0,0.0,0.0,24133.47545693914
2024-05-01,22998.42671841524,22682.941209237022,24018.191976620757,22998.42671841524,22998.42671841524,341.48522932742753,341.48522932742753,341.48522932742753,341.48522932742753,341.48522932742753,341.48522932742753,0.0,0.0,0.0,23339.91194774267
2024-06-01,22881.858339230585,21940.15071190094,23298.739692278526,22881.858339230585,22881.858339230585,-225.90448258200934,-225.90448258200934,-225.90448258200934,-225.90448258200934,-225.90448258200934,-225.90448258200934,0.0,0.0,0.0,22655.953856648575
2024-07-01,22769.050222442627,22761.210544942503,24171.272374307813,22769.050222442627,22769.050222442627,694.3916046791603,694.3916046791603,694.3916046791603,694.3916046791603,694.3916046791603,694.3916046791603,0.0,0.0,0.0,23463.441827121787
2024-08-01,22652.48183148688,19168.037052416355,20528.894438676485,22652.48183148688,22652.48183148688,-2822.964903065715,-2822.964903065715,-2822.964903065715,-2822.964903065715,-2822.964903065715,-2822.964903065715,0.0,0.0,0.0,19829.516928421162
2024-09-01,22535.913439242526,21683.127484002933,22995.4847092727,22535.913439242526,22535.913439242526,-214.34214550971694,-214.34214550971694,-214.34214550971694,-214.34214550971694,-214.34214550971694,-214.34214550971694,0.0,0.0,0.0,22321.57129373281
2024-10-01,22423.10530027835,24395.145571310906,25789.901813375676,22423.10530027835,22423.10530027835,2664.756342285277,2664.756342285277,2664.756342285277,2664.756342285277,2664.756342285277,2664.756342285277,0.0,0.0,0.0,25087.861642563625
2024-11-01,22306.536890015366,20389.061652213426,21860.660752998414,22306.536890015366,22306.536890015366,-1161.7623025550167,-1161.7623025550167,-1161.7623025550167,-1161.7623025550167,-1161.7623025550167,-1161.7623025550167,0.0,0.0,0.0,21144.77458746035
2024-12-01,22193.72875105119,24786.00642835813,26113.897914611436,22193.72875105119,22193.72875105119,3260.60326434392,3260.60326434392,3260.60326434392,3260.60326434392,3260.60326434392,3260.60326434392,0.0,0.0,0.0,25454.33201539511
2025-01-01,22077.160340788207,24623.124478660164,26014.35707959497,22077.160340788207,22077.160340788207,3266.8558379992533,3266.8558379992533,3266.8558379992533,3266.8558379992533,3266.8558379992533,3266.8558379992533,0.0,0.0,0.0,25344.01617878746
2025-02-01,21960.591930525225,20574.82742084711,22019.51547226193,21960.591930525225,21960.591930525225,-669.319734491346,-669.319734491346,-669.319734491346,-669.319734491346,-669.319734491346,-669.319734491346,0.0,0.0,0.0,21291.27219603388
2025-03-01,21855.30433415866,19792.967576749703,21150.705882614908,21855.30433415866,21855.30433415866,-1446.797511106225,-1446.797511106225,-1446.797511106225,-1446.797511106225,-1446.797511106225,-1446.797511106225,0.0,0.0,0.0,20408.506823052434
2025-03-31,21742.496195194482,25009.49744236745,26344.340782254763,21733.109415303188,21751.96452577284,3933.72868356649,3933.72868356649,3933.72868356649,3933.72868356649,3933.72868356649,3933.72868356649,0.0,0.0,0.0,25676.22487876097
2025-04-30,21629.688056230305,21084.107834714345,22476.305231720795,21599.96581867956,21660.964018348353,152.66376549573178,152.66376549573178,152.66376549573178,152.66376549573178,152.66376549573178,152.66376549573178,0.0,0.0,0.0,21782.351821726035
2025-05-31,21513.119645967323,16899.40039464652,18332.324769902076,21455.06334960298,21570.91951670783,-3891.289015886039,-3891.289015886039,-3891.289015886039,-3891.289015886039,-3891.289015886039,-3891.289015886039,0.0,0.0,0.0,17621.830630081284
2025-06-30,21400.31150700315,17277.071769335285,18659.217127272448,21306.18135489436,21488.99404255356,-3400.316844372607,-3400.316844372607,-3400.316844372607,-3400.316844372607,-3400.316844372607,-3400.316844372607,0.0,0.0,0.0,17999.994662630543
2025-07-31,21283.743096740163,22205.160157206505,23557.592626772774,21154.49362522812,21405.84954231289,1602.8971758147584,1602.8971758147584,1602.8971758147584,1602.8971758147584,1602.8971758147584,1602.8971758147584,0.0,0.0,0.0,22886.640272554923
2025-08-31,21167.17468647718,19204.89487909198,20651.647278330445,20995.474691913583,21332.82154192337,-1245.8268976798108,-1245.8268976798108,-1245.8268976798108,-1245.8268976798108,-1245.8268976798108,-1245.8268976798108,0.0,0.0,0.0,19921.34778879737
2025-09-30,21054.366547513004,23708.961803766528,25208.528020384583,20839.245135176094,21271.821940884776,3427.040474263081,3427.040474263081,3427.040474263081,3427.040474263081,3427.040474263081,3427.040474263081,0.0,0.0,0.0,24481.407021776085
2025-10-31,20937.79813725002,24802.445587913055,26251.57228880823,20682.90411811247,21210.42344874304,4602.5693260564385,4602.5693260564385,4602.5693260564385,4602.5693260564385,4602.5693260564385,4602.5693260564385,0.0,0.0,0.0,25540.36746330646
