ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22684.421644200003,21832.56156093209,24380.388766150798,22684.421644200003,22684.421644200003,413.6222190549309,413.6222190549309,413.6222190549309,413.6222190549309,413.6222190549309,413.6222190549309,0.0,0.0,0.0,23098.043863254934
2023-02-01,22669.827322173896,21173.286984378665,23667.383290197522,22669.827322173896,22669.827322173896,-250.99909630216388,-250.99909630216388,-250.99909630216388,-250.99909630216388,-250.99909630216388,-250.99909630216388,0.0,0.0,0.0,22418.828225871734
2023-03-01,22656.64535409303,23036.00469261195,25491.890274979374,22656.64535409303,22656.64535409303,1610.5046412979207,1610.5046412979207,1610.5046412979207,1610.5046412979207,1610.5046412979207,1610.5046412979207,0.0,0.0,0.0,24267.14999539095
2023-04-01,22642.05103239012,19051.022144159073,21598.041404282576,22642.05103239012,22642.05103239012,-2329.30173928153,-2329.30173928153,-2329.30173928153,-2329.30173928153,-2329.30173928153,-2329.30173928153,0.0,0.0,0.0,20312.74929310859
2023-05-01,22627.927495662272,21641.7704872338,24118.923247152143,22627.927495662272,22627.927495662272,324.8416038016555,324.8416038016555,324.8416038016555,324.8416038016555,324.8416038016555,324.8416038016555,0.0,0.0,0.0,22952.769099463927
2023-06-01,22613.33317426113,22004.40983549749,24470.192996299746,22613.33317426113,22613.33317426113,692.4380746717353,692.4380746717353,692.4380746717353,692.4380746717353,692.4380746717353,692.4380746717353,0.0,0.0,0.0,23305.771248932866
2023-07-01,22599.209637217053,21132.597095740766,23505.552470358412,22599.209637217053,22599.209637217053,-235.72019020967875,-235.72019020967875,-235.72019020967875,-235.72019020967875,-235.72019020967875,-235.72019020967875,0.0,0.0,0.0,22363.489447007374
2023-08-01,22584.61531532499,19393.450139246102,21667.756891868667,22584.61531532499,22584.61531532499,-2024.9313253590929,-2024.9313253590929,-2024.9313253590929,-2024.9313253590929,-2024.9313253590929,-2024.9313253590929,0.0,0.0,0.0,20559.6839899659
2023-09-01,22570.02099368193,23539.31771967918,26012.64289020063,22570.02099368193,22570.02099368193,2170.540009135901,2170.540009135901,2170.540009135901,2170.540009135901,2170.540009135901,2170.540009135901,0.0,0.0,0.0,24740.56100281783
2023-10-01,22555.897456964885,23456.82796718344,25818.342659792677,22555.897456964885,22555.897456964885,2158.852584018297,2158.852584018297,2158.852584018297,2158.852584018297,2158.852584018297,2158.852584018297,0.0,0.0,0.0,24714.75004098318
2023-11-01,22541.303135717564,20288.50180082082,22769.37490569432,22541.303135717564,22541.303135717564,-968.7635623391907,-968.7635623391907,-968.7635623391907,-968.7635623391907,-968.7635623391907,-968.7635623391907,0.0,0.0,0.0,21572.539573378373
2023-12-01,22527.35612346927,21751.02359372351,24121.169031380254,22527.35612346927,22527.35612346927,445.0007062924105,445.0007062924105,445.0007062924105,445.0007062924105,445.0007062924105,445.0007062924105,0.0,0.0,0.0,22972.35682976168
2024-01-01,22512.946808748347,22624.771959660124,25056.642437319806,22512.946808748347,22512.946808748347,1364.6002736022933,1364.6002736022933,1364.6002736022933,1364.6002736022933,1364.6002736022933,1364.6002736022933,0.0,0.0,0.0,23877.54708235064
2024-02-01,22498.684936792193,20204.109773897042,22718.152031220525,22498.684936792193,22498.684936792193,-1001.3417310686735,-1001.3417310686735,-1001.3417310686735,-1001.3417310686735,-1001.3417310686735,-1001.3417310686735,0.0,0.0,0.0,21497.34320572352
2024-03-01,22485.790843915616,21365.13097925154,23825.601965155547,22485.790843915616,22485.790843915616,73.55906377476325,73.55906377476325,73.55906377476325,73.55906377476325,73.55906377476325,73.55906377476325,0.0,0.0,0.0,22559.34990769038
2024-04-01,22472.71365753553,21547.790274777,23943.14251569218,22472.71365753553,22472.71365753553,221.4621536126391,221.4621536126391,221.4621536126391,221.4621536126391,221.4621536126391,221.4621536126391,0.0,0.0,0.0,22694.17581114817
2024-05-01,22460.950525982877,21667.013241951845,24059.23717784487,22460.950525982877,22460.950525982877,427.6806877975073,427.6806877975073,427.6806877975073,427.6806877975073,427.6806877975073,427.6806877975073,0.0,0.0,0.0,22888.631213780383
2024-06-01,22449.73337925963,18343.840044005265,20720.34092372732,22449.73337925963,22449.73337925963,-2898.1445636138124,-2898.1445636138124,-2898.1445636138124,-2898.1445636138124,-2898.1445636138124,-2898.1445636138124,0.0,0.0,0.0,19551.588815645817
2024-07-01,22440.56433601791,20570.68672486677,23007.85883637481,22440.56433601791,22440.56433601791,-722.5260762637093,-722.5260762637093,-722.5260762637093,-722.5260762637093,-722.5260762637093,-722.5260762637093,0.0,0.0,0.0,21718.0382597542
2024-08-01,22431.467850998943,23953.876464368735,26466.640291826672,22431.467850998943,22431.467850998943,2831.5145857732714,2831.5145857732714,2831.5145857732714,2831.5145857732714,2831.5145857732714,2831.5145857732714,0.0,0.0,0.0,25262.982436772214
2024-09-01,22423.361820176913,21563.22864240869,24037.545148552985,22423.361820176913,22423.361820176913,362.4979440021052,362.4979440021052,362.4979440021052,362.4979440021052,362.4979440021052,362.4979440021052,0.0,0.0,0.0,22785.85976417902
2024-10-01,22416.081789936576,22418.781456481338,24739.985618579725,22416.081789936576,22416.081789936576,1220.4130852018566,1220.4130852018566,1220.4130852018566,1220.4130852018566,1220.4130852018566,1220.4130852018566,0.0,0.0,0.0,23636.494875138433
2024-11-01,22408.559092021558,20885.261192782848,23414.035095083003,22408.559092021558,22408.559092021558,-209.04924224099145,-209.04924224099145,-209.04924224099145,-209.04924224099145,-209.04924224099145,-209.04924224099145,0.0,0.0,0.0,22199.509849780567
2024-12-01,22401.27906178122,22433.893268907916,24879.149623578527,22401.27906178122,22401.27906178122,1188.673271137587,1188.673271137587,1188.673271137587,1188.673271137587,1188.673271137587,1188.673271137587,0.0,0.0,0.0,23589.95233291881
2025-01-01,22393.756363866203,19728.916446561998,22149.47587924507,22393.756363866203,22393.756363866203,-1505.9183345240776,-1505.9183345240776,-1505.9183345240776,-1505.9183345240776,-1505.9183345240776,-1505.9183345240776,0.0,0.0,0.0,20887.838029342125
2025-02-01,22386.233665951186,22366.458027105833,24758.659423032106,22386.233665951186,22386.233665951186,1221.265951642843,1221.265951642843,1221.265951642843,1221.265951642843,1221.265951642843,1221.265951642843,0.0,0.0,0.0,23607.49961759403
2025-03-01,22379.438971060204,21778.852669492364,24188.093113796855,22379.438971060204,22379.438971060204,590.0618407912381,590.0618407912381,590.0618407912381,590.0618407912381,590.0618407912381,590.0618407912381,0.0,0.0,0.0,22969.50081185144
2025-03-31,22372.158940819867,17113.23895266565,19591.114170854744,22371.94329723335,22372.399697931964,-4024.2821685821887,-4024.2821685821887,-4024.2821685821887,-4024.2821685821887,-4024.2821685821887,-4024.2821685821887,0.0,0.0,0.0,18347.87677223768
2025-04-30,22364.87891057953,21506.43156234263,23970.78435671062,22364.167916661645,22365.627956117543,387.21191332574693,387.21191332574693,387.21191332574693,387.21191332574693,387.21191332574693,387.21191332574693,0.0,0.0,0.0,22752.090823905277
