ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23655.25260411,25148.82037265993,25692.920432024803,23655.25260411,23655.25260411,1761.6296883529053,1761.6296883529053,1761.6296883529053,1761.6296883529053,1761.6296883529053,1761.6296883529053,0.0,0.0,0.0,25416.882292462906
2023-02-01,23544.12059633438,23636.534614153054,24183.030510616845,23544.12059633438,23544.12059633438,350.4849146538218,350.4849146538218,350.4849146538218,350.4849146538218,350.4849146538218,350.4849146538218,0.0,0.0,0.0,23894.6055109882
2023-03-01,23443.74329888324,22668.72384835744,23204.24350440413,23443.74329888324,23443.74329888324,-527.3772551406242,-527.3772551406242,-527.3772551406242,-527.3772551406242,-527.3772551406242,-527.3772551406242,0.0,0.0,0.0,22916.366043742615
2023-04-01,23332.611301887402,19279.158524012026,19818.171669575328,23332.611301887402,23332.611301887402,-3782.13368794658,-3782.13368794658,-3782.13368794658,-3782.13368794658,-3782.13368794658,-3782.13368794658,0.0,0.0,0.0,19550.47761394082
2023-05-01,23225.570181337025,23137.960633327053,23677.33255484853,23225.570181337025,23225.570181337025,182.45384048121093,182.45384048121093,182.45384048121093,182.45384048121093,182.45384048121093,182.45384048121093,0.0,0.0,0.0,23408.024021818237
2023-06-01,23205.19491637045,21637.986376189776,22175.572244885643,23205.19491637045,23205.19491637045,-1300.4875388091098,-1300.4875388091098,-1300.4875388091098,-1300.4875388091098,-1300.4875388091098,-1300.4875388091098,0.0,0.0,0.0,21904.70737756134
2023-07-01,23185.700054594,20355.01126714929,20907.66915470871,23185.700054594,23185.700054594,-2565.4871726306546,-2565.4871726306546,-2565.4871726306546,-2565.4871726306546,-2565.4871726306546,-2565.4871726306546,0.0,0.0,0.0,20620.212881963344
2023-08-01,23165.555373245865,24824.212080664503,25378.878399462046,23165.555373245865,23165.555373245865,1938.9917221378214,1938.9917221378214,1938.9917221378214,1938.9917221378214,1938.9917221378214,1938.9917221378214,0.0,0.0,0.0,25104.547095383685
2023-09-01,23145.41068552413,24639.43252017044,25196.412856462055,23145.41068552413,23145.41068552413,1772.5431611810138,1772.5431611810138,1772.5431611810138,1772.5431611810138,1772.5431611810138,1772.5431611810138,0.0,0.0,0.0,24917.953846705142
2023-10-01,23125.915815788732,23989.37937593926,24523.351800430704,23125.915815788732,23125.915815788732,1131.5058416893078,1131.5058416893078,1131.5058416893078,1131.5058416893078,1131.5058416893078,1131.5058416893078,0.0,0.0,0.0,24257.42165747804
2023-11-01,23105.27661020574,20802.476722967047,21332.340310155978,23105.27661020574,23105.27661020574,-2034.4616376745287,-2034.4616376745287,-2034.4616376745287,-2034.4616376745287,-2034.4616376745287,-2034.4616376745287,0.0,0.0,0.0,21070.81497253121
2023-12-01,23084.93267038288,24594.02266555395,25121.21216781387,23084.93267038288,23084.93267038288,1784.1082125591875,1784.1082125591875,1784.1082125591875,1784.1082125591875,1784.1082125591875,1784.1082125591875,0.0,0.0,0.0,24869.04088294207
2024-01-01,23063.596087105747,26188.927181791387,26724.611026140916,23063.596087105747,23063.596087105747,3403.132143358939,3403.132143358939,3403.132143358939,3403.132143358939,3403.132143358939,3403.132143358939,0.0,0.0,0.0,26466.728230464687
2024-02-01,23042.239467230283,22851.320878093517,23428.478548928026,23042.239467230283,23042.239467230283,98.86442596754969,98.86442596754969,98.86442596754969,98.86442596754969,98.86442596754969,98.86442596754969,0.0,0.0,0.0,23141.103893197833
