ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22862.45669256,21332.652591260034,23974.89368676933,22862.45669256,22862.45669256,-173.61174856558097,-173.61174856558097,-173.61174856558097,-173.61174856558097,-173.61174856558097,-173.61174856558097,0.0,0.0,0.0,22688.84494399442
2023-02-01,22922.494153435888,22218.52184136523,24750.296459525624,22922.494153435888,22922.494153435888,600.8191108220054,600.8191108220054,600.8191108220054,600.8191108220054,600.8191108220054,600.8191108220054,0.0,0.0,0.0,23523.313264257893
2023-03-01,22976.721540764294,19575.4270717218,22023.372047084104,22976.721540764294,22976.721540764294,-2152.6638561288137,-2152.6638561288137,-2152.6638561288137,-2152.6638561288137,-2152.6638561288137,-2152.6638561288137,0.0,0.0,0.0,20824.05768463548
2023-04-01,23036.759000808655,22521.51458109824,24988.81049113676,23036.759000808655,23036.759000808655,690.3252497669944,690.3252497669944,690.3252497669944,690.3252497669944,690.3252497669944,690.3252497669944,0.0,0.0,0.0,23727.08425057565
2023-05-01,23094.859768326307,20265.59954743477,22756.34766249612,23094.859768326307,23094.859768326307,-1599.982742730753,-1599.982742730753,-1599.982742730753,-1599.982742730753,-1599.982742730753,-1599.982742730753,0.0,0.0,0.0,21494.877025595553
2023-06-01,23154.897230402945,21722.696824659466,24382.072116220064,23154.897230402945,23154.897230402945,-135.63998828213153,-135.63998828213153,-135.63998828213153,-135.63998828213153,-135.63998828213153,-135.63998828213153,0.0,0.0,0.0,23019.257242120813
2023-07-01,23212.997999614283,22066.036197083948,24551.95957809346,23212.997999614283,23212.997999614283,160.0549657118099,160.0549657118099,160.0549657118099,160.0549657118099,160.0549657118099,160.0549657118099,0.0,0.0,0.0,23373.052965326093
2023-08-01,23273.035457586488,20370.74941428365,22861.79200878617,23273.035457586488,23273.035457586488,-1702.7737498563572,-1702.7737498563572,-1702.7737498563572,-1702.7737498563572,-1702.7737498563572,-1702.7737498563572,0.0,0.0,0.0,21570.26170773013
2023-09-01,23333.07292288391,24152.514231215766,26554.355323246335,23333.07292288391,23333.07292288391,2026.7715760829774,2026.7715760829774,2026.7715760829774,2026.7715760829774,2026.7715760829774,2026.7715760829774,0.0,0.0,0.0,25359.84449896689
2023-10-01,23391.17369674343,22284.191403765493,24772.829101084146,23391.17369674343,23391.17369674343,91.47635124375282,91.47635124375282,91.47635124375282,91.47635124375282,91.47635124375282,91.47635124375282,0.0,0.0,0.0,23482.650047987183
2023-11-01,23451.21117082226,19083.88939373248,21652.139160926807,23451.21117082226,23451.21117082226,-3096.21638933131,-3096.21638933131,-3096.21638933131,-3096.21638933131,-3096.21638933131,-3096.21638933131,0.0,0.0,0.0,20354.994781490946
2023-12-01,23509.31194985876,21868.789906836144,24330.774639584528,23509.31194985876,23509.31194985876,-463.0974962436563,-463.0974962436563,-463.0974962436563,-463.0974962436563,-463.0974962436563,-463.0974962436563,0.0,0.0,0.0,23046.214453615103
2024-01-01,23569.34942297762,23325.97101360399,25742.066437053156,23569.34942297762,23569.34942297762,941.6559949011713,941.6559949011713,941.6559949011713,941.6559949011713,941.6559949011713,941.6559949011713,0.0,0.0,0.0,24511.00541787879
2024-02-01,23629.386899898327,23343.62604583019,25840.36299252579,23629.386899898327,23629.386899898327,957.0316343717413,957.0316343717413,957.0316343717413,957.0316343717413,957.0316343717413,957.0316343717413,0.0,0.0,0.0,24586.41853427007
2024-03-01,23685.550996490776,20755.59203376723,23331.421302903425,23685.550996490776,23685.550996490776,-1689.4949583007171,-1689.4949583007171,-1689.4949583007171,-1689.4949583007171,-1689.4949583007171,-1689.4949583007171,0.0,0.0,0.0,21996.056038190058
2024-04-01,23745.588476932404,24279.45459959472,26909.983689468063,23745.588476932404,23745.588476932404,1894.0453340547424,1894.0453340547424,1894.0453340547424,1894.0453340547424,1894.0453340547424,1894.0453340547424,0.0,0.0,0.0,25639.633810987147
2024-05-01,23803.712824983122,21303.034308997754,23870.159441921547,23803.712824983122,23803.712824983122,-1243.4073745935793,-1243.4073745935793,-1243.4073745935793,-1243.4073745935793,-1243.4073745935793,-1243.4073745935793,0.0,0.0,0.0,22560.305450389544
2024-06-01,23863.774647186805,23920.83686829263,26415.448654960946,23863.774647186805,23863.774647186805,1295.3262568954176,1295.3262568954176,1295.3262568954176,1295.3262568954176,1295.3262568954176,1295.3262568954176,0.0,0.0,0.0,25159.10090408222
2024-07-01,23921.898987644076,22095.147855770152,24558.302512937185,23921.898987644076,23921.898987644076,-718.1073695603906,-718.1073695603906,-718.1073695603906,-718.1073695603906,-718.1073695603906,-718.1073695603906,0.0,0.0,0.0,23203.791618083684
2024-08-01,23981.960802972193,19990.707651521785,22426.392648196033,23981.960802972193,23981.960802972193,-2769.5141787987586,-2769.5141787987586,-2769.5141787987586,-2769.5141787987586,-2769.5141787987586,-2769.5141787987586,0.0,0.0,0.0,21212.446624173434
2024-09-01,24042.022621619806,21418.869827871058,23883.07726016957,24042.022621619806,24042.022621619806,-1409.6027510216288,-1409.6027510216288,-1409.6027510216288,-1409.6027510216288,-1409.6027510216288,-1409.6027510216288,0.0,0.0,0.0,22632.419870598176
2024-10-01,24100.146963249663,24654.105777035045,27073.423109169715,24100.146963249663,24100.146963249663,1724.9579806058694,1724.9579806058694,1724.9579806058694,1724.9579806058694,1724.9579806058694,1724.9579806058694,0.0,0.0,0.0,25825.10494385553
2024-11-01,24160.20878293385,24323.21024072748,26884.164590711847,24160.20878293385,24160.20878293385,1417.0900433277704,1417.0900433277704,1417.0900433277704,1417.0900433277704,1417.0900433277704,1417.0900433277704,0.0,0.0,0.0,25577.29882626162
2024-12-01,24218.333124563705,22524.519034423673,25069.563110747225,24218.333124563705,24218.333124563705,-424.41003957365245,-424.41003957365245,-424.41003957365245,-424.41003957365245,-424.41003957365245,-424.41003957365245,0.0,0.0,0.0,23793.923084990052
2025-01-01,24278.39494424789,20665.783112202353,23193.30842593262,24278.39494424789,24278.39494424789,-2361.448469123738,-2361.448469123738,-2361.448469123738,-2361.448469123738,-2361.448469123738,-2361.448469123738,0.0,0.0,0.0,21916.946475124154
2025-02-01,24338.456763932078,22907.24765252076,25442.409659100183,24338.456763932078,24338.456763932078,-156.47061529850217,-156.47061529850217,-156.47061529850217,-156.47061529850217,-156.47061529850217,-156.47061529850217,0.0,0.0,0.0,24181.986148633576
