ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,24563.422074399998,24097.61337595555,27105.838079441917,24563.422074399998,24563.422074399998,1074.9834175772835,1074.9834175772835,1074.9834175772835,1074.9834175772835,1074.9834175772835,1074.9834175772835,0.0,0.0,0.0,25638.405491977283
2023-02-01,24490.375651290247,22322.177507690358,25352.71994950507,24490.375651290247,24490.375651290247,-745.6509344891564,-745.6509344891564,-745.6509344891564,-745.6509344891564,-745.6509344891564,-745.6509344891564,0.0,0.0,0.0,23744.72471680109
2023-03-01,24424.398235248096,20347.565964567846,23416.346179967157,24424.398235248096,24424.398235248096,-2557.1881260873292,-2557.1881260873292,-2557.1881260873292,-2557.1881260873292,-2557.1881260873292,-2557.1881260873292,0.0,0.0,0.0,21867.210109160766
2023-04-01,24351.351810971806,23104.138218813117,26155.08589971573,24351.351810971806,24351.351810971806,286.6482705537368,286.6482705537368,286.6482705537368,286.6482705537368,286.6482705537368,286.6482705537368,0.0,0.0,0.0,24638.000081525544
2023-05-01,24280.661721407756,22668.201111353534,25781.35245304757,24280.661721407756,24280.661721407756,-36.937889215807296,-36.937889215807296,-36.937889215807296,-36.937889215807296,-36.937889215807296,-36.937889215807296,0.0,0.0,0.0,24243.72383219195
2023-06-01,24207.615295959047,23157.1134849507,26235.457888653058,24207.615295959047,24207.615295959047,475.82638867413556,475.82638867413556,475.82638867413556,475.82638867413556,475.82638867413556,475.82638867413556,0.0,0.0,0.0,24683.441684633184
2023-07-01,24136.92520520324,21049.501559068918,24162.638840817337,24136.92520520324,24136.92520520324,-1581.819234266929,-1581.819234266929,-1581.819234266929,-1581.819234266929,-1581.819234266929,-1581.819234266929,0.0,0.0,0.0,22555.10597093631
2023-08-01,24063.878778299855,22635.88869211742,25638.863285219166,24063.878778299855,24063.878778299855,107.82572478368779,107.82572478368779,107.82572478368779,107.82572478368779,107.82572478368779,107.82572478368779,0.0,0.0,0.0,24171.704503083543
2023-09-01,23990.832351782505,20962.353354658153,24004.06915897042,23990.832351782505,23990.832351782505,-1505.5827451049506,-1505.5827451049506,-1505.5827451049506,-1505.5827451049506,-1505.5827451049506,-1505.5827451049506,0.0,0.0,0.0,22485.249606677553
2023-10-01,23920.25462732939,19961.588977288207,23026.615859158246,23920.25462732939,23920.25462732939,-2457.4125645988192,-2457.4125645988192,-2457.4125645988192,-2457.4125645988192,-2457.4125645988192,-2457.4125645988192,0.0,0.0,0.0,21462.842062730568
2023-11-01,23847.39997054511,25396.306911820608,28327.403342240144,23847.39997054511,23847.39997054511,3123.6503289784437,3123.6503289784437,3123.6503289784437,3123.6503289784437,3123.6503289784437,3123.6503289784437,0.0,0.0,0.0,26971.050299523555
2023-12-01,23776.895469766252,22065.159068276647,25080.93221921639,23776.895469766252,23776.895469766252,-250.13890503174522,-250.13890503174522,-250.13890503174522,-250.13890503174522,-250.13890503174522,-250.13890503174522,0.0,0.0,0.0,23526.756564734507
2024-01-01,23704.22202394318,23419.807366040484,26435.154380575517,23704.22202394318,23704.22202394318,1233.246131206384,1233.246131206384,1233.246131206384,1233.246131206384,1233.246131206384,1233.246131206384,0.0,0.0,0.0,24937.468155149563
2024-02-01,23631.838970866687,20953.172830871867,24177.16220026771,23631.838970866687,23631.838970866687,-1009.5324578354886,-1009.5324578354886,-1009.5324578354886,-1009.5324578354886,-1009.5324578354886,-1009.5324578354886,0.0,0.0,0.0,22622.3065130312
2024-03-01,23564.194430090203,21006.146181548636,23891.799801865574,23564.194430090203,23564.194430090203,-1093.789674076573,-1093.789674076573,-1093.789674076573,-1093.789674076573,-1093.789674076573,-1093.789674076573,0.0,0.0,0.0,22470.40475601363
