ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22602.80679952,21726.132627359293,22544.780537216902,22602.80679952,22602.80679952,-482.74452997079646,-482.74452997079646,-482.74452997079646,-482.74452997079646,-482.74452997079646,-482.74452997079646,0.0,0.0,0.0,22120.062269549202
2023-02-01,22710.763066894076,22924.08876513854,23765.230913047537,22710.763066894076,22710.763066894076,636.9306144025336,636.9306144025336,636.9306144025336,636.9306144025336,636.9306144025336,636.9306144025336,0.0,0.0,0.0,23347.69368129661
2023-03-01,22808.27195139855,22569.78702347953,23366.438203952177,22808.27195139855,22808.27195139855,161.38314579898338,161.38314579898338,161.38314579898338,161.38314579898338,161.38314579898338,161.38314579898338,0.0,0.0,0.0,22969.655097197534
2023-04-01,22916.228212793834,22290.213108899716,23102.55940326697,22916.228212793834,22916.228212793834,-210.60837091899623,-210.60837091899623,-210.60837091899623,-210.60837091899623,-210.60837091899623,-210.60837091899623,0.0,0.0,0.0,22705.61984187484
2023-05-01,23020.70201540996,23735.834940774625,24563.280303654785,23020.70201540996,23020.70201540996,1145.3397143761138,1145.3397143761138,1145.3397143761138,1145.3397143761138,1145.3397143761138,1145.3397143761138,0.0,0.0,0.0,24166.041729786073
2023-06-01,23128.65827970557,22852.03186237955,23671.234345624955,23128.65827970557,23128.65827970557,115.76379149489871,115.76379149489871,115.76379149489871,115.76379149489871,115.76379149489871,115.76379149489871,0.0,0.0,0.0,23244.422071200468
2023-07-01,23233.132082710523,24099.952739321878,24927.67951769477,23233.132082710523,23233.132082710523,1276.1879568881814,1276.1879568881814,1276.1879568881814,1276.1879568881814,1276.1879568881814,1276.1879568881814,0.0,0.0,0.0,24509.320039598704
2023-08-01,23341.08834594169,21834.614362071305,22675.776204290934,23341.08834594169,23341.08834594169,-1074.2718499031328,-1074.2718499031328,-1074.2718499031328,-1074.2718499031328,-1074.2718499031328,-1074.2718499031328,0.0,0.0,0.0,22266.81649603856
2023-09-01,23449.016434437595,22766.936910186134,23566.37910223011,23449.016434437595,23449.016434437595,-287.68839816322554,-287.68839816322554,-287.68839816322554,-287.68839816322554,-287.68839816322554,-287.68839816322554,0.0,0.0,0.0,23161.328036274368
2023-10-01,23552.990857394274,23306.4401235547,24141.89565173612,23552.990857394274,23552.990857394274,162.5165812693691,162.5165812693691,162.5165812693691,162.5165812693691,162.5165812693691,162.5165812693691,0.0,0.0,0.0,23715.507438663644
2023-11-01,23528.123843101872,22320.86223274772,23144.165650649025,23528.123843101872,23528.123843101872,-790.2772141868223,-790.2772141868223,-790.2772141868223,-790.2772141868223,-790.2772141868223,-790.2772141868223,0.0,0.0,0.0,22737.84662891505
2023-12-01,23503.44106820352,21841.1274636407,22687.083561659336,23503.44106820352,23503.44106820352,-1243.479784024121,-1243.479784024121,-1243.479784024121,-1243.479784024121,-1243.479784024121,-1243.479784024121,0.0,0.0,0.0,22259.961284179397
2024-01-01,23477.651317051113,23209.670274745276,24052.975125977315,23477.651317051113,23477.651317051113,174.10437186039184,174.10437186039184,174.10437186039184,174.10437186039184,174.10437186039184,174.10437186039184,0.0,0.0,0.0,23651.755688911504
2024-02-01,23451.67946946331,23308.982757612,24137.672652894886,23451.67946946331,23451.67946946331,260.6099439125642,260.6099439125642,260.6099439125642,260.6099439125642,260.6099439125642,260.6099439125642,0.0,0.0,0.0,23712.289413375875
2024-03-01,23427.38322512711,24147.691758476267,24992.082155259854,23427.38322512711,23427.38322512711,1125.408291086547,1125.408291086547,1125.408291086547,1125.408291086547,1125.408291086547,1125.408291086547,0.0,0.0,0.0,24552.791516213656
2024-04-01,23401.41137609447,22836.049872994645,23666.279275424433,23401.41137609447,23401.41137609447,-168.65306274523095,-168.65306274523095,-168.65306274523095,-168.65306274523095,-168.65306274523095,-168.65306274523095,0.0,0.0,0.0,23232.75831334924
2024-05-01,23376.277331189278,22913.45501151988,23764.47562995258,23376.277331189278,23376.277331189278,-72.51012523510387,-72.51012523510387,-72.51012523510387,-72.51012523510387,-72.51012523510387,-72.51012523510387,0.0,0.0,0.0,23303.767205954173
2024-06-01,23350.305485228524,24219.106921274186,25058.021583118247,23350.305485228524,23350.305485228524,1291.0302796693925,1291.0302796693925,1291.0302796693925,1291.0302796693925,1291.0302796693925,1291.0302796693925,0.0,0.0,0.0,24641.335764897918
2024-07-01,23325.171448207653,21899.77459451815,22727.54079130466,23325.171448207653,23325.171448207653,-1023.6214963309751,-1023.6214963309751,-1023.6214963309751,-1023.6214963309751,-1023.6214963309751,-1023.6214963309751,0.0,0.0,0.0,22301.549951876677
2024-08-01,23299.20001076867,24124.578197497867,24945.609845414692,23299.20001076867,23299.20001076867,1233.1865670541108,1233.1865670541108,1233.1865670541108,1233.1865670541108,1233.1865670541108,1233.1865670541108,0.0,0.0,0.0,24532.38657782278
2024-09-01,23273.597746549425,20645.856900934963,21461.539763820987,23273.597746549425,23273.597746549425,-2228.2228226296825,-2228.2228226296825,-2228.2228226296825,-2228.2228226296825,-2228.2228226296825,-2228.2228226296825,0.0,0.0,0.0,21045.374923919742
2024-10-01,23319.68270837364,25811.713908443107,26643.509819821236,23319.68270837364,23319.68270837364,2925.241835639047,2925.241835639047,2925.241835639047,2925.241835639047,2925.241835639047,2925.241835639047,0.0,0.0,0.0,26244.924544012687
2024-11-01,23367.30383559199,20988.27010854459,21825.420675065096,23367.30383559199,23367.30383559199,-1958.7710070644703,-1958.7710070644703,-1958.7710070644703,-1958.7710070644703,-1958.7710070644703,-1958.7710070644703,0.0,0.0,0.0,21408.532828527517
2024-12-01,23413.388797416195,21815.59181102023,22620.677378287637,23413.388797416195,23413.388797416195,-1208.9435535759355,-1208.9435535759355,-1208.9435535759355,-1208.9435535759355,-1208.9435535759355,-1208.9435535759355,0.0,0.0,0.0,22204.44524384026
2025-01-01,23461.00992463455,21176.52150830884,22052.299806684456,23461.00992463455,23461.00992463455,-1819.6565639813714,-1819.6565639813714,-1819.6565639813714,-1819.6565639813714,-1819.6565639813714,-1819.6565639813714,0.0,0.0,0.0,21641.35336065318
2025-02-01,23508.631051852895,24428.637026443634,25254.873614349515,23508.631051852895,23508.631051852895,1343.3541896368095,1343.3541896368095,1343.3541896368095,1343.3541896368095,1343.3541896368095,1343.3541896368095,0.0,0.0,0.0,24851.985241489703
