ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23390.4927606,20961.04152773387,22691.28042693139,23390.4927606,23390.4927606,-1561.7290619903793,-1561.7290619903793,-1561.7290619903793,-1561.7290619903793,-1561.7290619903793,-1561.7290619903793,0.0,0.0,0.0,21828.76369860962
2023-02-01,23349.415707723332,22572.792922813765,24460.661142012574,23349.415707723332,23349.415707723332,164.2652918728966,164.2652918728966,164.2652918728966,164.2652918728966,164.2652918728966,164.2652918728966,0.0,0.0,0.0,23513.68099959623
2023-03-01,23312.3138539786,20370.89528829824,22166.46154355477,23312.3138539786,23312.3138539786,-2053.6579865252625,-2053.6579865252625,-2053.6579865252625,-2053.6579865252625,-2053.6579865252625,-2053.6579865252625,0.0,0.0,0.0,21258.655867453337
2023-04-01,23271.23680188697,23785.323061545685,25606.394261581252,23271.23680188697,23271.23680188697,1428.838477537458,1428.838477537458,1428.838477537458,1428.838477537458,1428.838477537458,1428.838477537458,0.0,0.0,0.0,24700.07527942443
2023-05-01,23231.504446126586,21561.102700307194,23334.967175418406,23231.504446126586,23231.504446126586,-794.0898387910905,-794.0898387910905,-794.0898387910905,-794.0898387910905,-794.0898387910905,-794.0898387910905,0.0,0.0,0.0,22437.414607335497
2023-06-01,23190.455782914498,21269.174135403668,23040.239288205372,23190.455782914498,23190.455782914498,-1013.3021647260197,-1013.3021647260197,-1013.3021647260197,-1013.3021647260197,-1013.3021647260197,-1013.3021647260197,0.0,0.0,0.0,22177.153618188477
2023-07-01,23150.731270537977,19620.422707368372,21383.101951348825,23150.731270537977,23150.731270537977,-2689.85457754439,-2689.85457754439,-2689.85457754439,-2689.85457754439,-2689.85457754439,-2689.85457754439,0.0,0.0,0.0,20460.87669299359
2023-08-01,23109.68260745748,21144.42913925998,22916.798761408623,23109.68260745748,23109.68260745748,-1063.257852269551,-1063.257852269551,-1063.257852269551,-1063.257852269551,-1063.257852269551,-1063.257852269551,0.0,0.0,0.0,22046.424755187927
2023-09-01,23068.633944572837,25038.556926136283,26768.93609013172,23068.633944572837,23068.633944572837,2798.6721196985213,2798.6721196985213,2798.6721196985213,2798.6721196985213,2798.6721196985213,2798.6721196985213,0.0,0.0,0.0,25867.306064271357
2023-10-01,23028.909431423835,21617.350635744573,23402.34544639246,23028.909431423835,23028.909431423835,-541.5875055973969,-541.5875055973969,-541.5875055973969,-541.5875055973969,-541.5875055973969,-541.5875055973969,0.0,0.0,0.0,22487.32192582644
