ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23606.291294669998,24256.52933329869,26461.109926024288,23606.291294669998,23606.291294669998,1685.4310975752833,1685.4310975752833,1685.4310975752833,1685.4310975752833,1685.4310975752833,1685.4310975752833,0.0,0.0,0.0,25291.722392245283
2023-02-01,23565.182509027694,23038.88345719736,25125.52899223849,23565.182509027694,23565.182509027694,457.67398519556804,457.67398519556804,457.67398519556804,457.67398519556804,457.67398519556804,457.67398519556804,0.0,0.0,0.0,24022.856494223262
2023-03-01,23528.05199269716,20481.328211327396,22563.68152327739,23528.05199269716,23528.05199269716,-2046.271712314831,-2046.271712314831,-2046.271712314831,-2046.271712314831,-2046.271712314831,-2046.271712314831,0.0,0.0,0.0,21481.78028038233
2023-04-01,23486.943206961667,21440.607250388897,23587.470029326283,23486.943206961667,23486.943206961667,-953.3980505805176,-953.3980505805176,-953.3980505805176,-953.3980505805176,-953.3980505805176,-953.3980505805176,0.0,0.0,0.0,22533.545156381148
2023-05-01,23447.16051137629,23870.584989929055,26042.491553289885,23447.16051137629,23447.16051137629,1505.1218829212346,1505.1218829212346,1505.1218829212346,1505.1218829212346,1505.1218829212346,1505.1218829212346,0.0,0.0,0.0,24952.282394297523
2023-06-01,23406.051726499743,22197.663703163853,24263.59227761609,23406.051726499743,23406.051726499743,-222.34113774821037,-222.34113774821037,-222.34113774821037,-222.34113774821037,-222.34113774821037,-222.34113774821037,0.0,0.0,0.0,23183.71058875153
2023-07-01,23366.299242208323,21796.154541236447,23801.88524647899,23366.299242208323,23366.299242208323,-554.853941282864,-554.853941282864,-554.853941282864,-554.853941282864,-554.853941282864,-554.853941282864,0.0,0.0,0.0,22811.445300925458
2023-08-01,23325.221948159564,19878.889492479164,22040.476274237182,23325.221948159564,23325.221948159564,-2390.0584465524507,-2390.0584465524507,-2390.0584465524507,-2390.0584465524507,-2390.0584465524507,-2390.0584465524507,0.0,0.0,0.0,20935.163501607112
2023-09-01,23284.252818665907,22577.392139428055,24724.153687294005,23284.252818665907,23284.252818665907,330.7186271113013,330.7186271113013,330.7186271113013,330.7186271113013,330.7186271113013,330.7186271113013,0.0,0.0,0.0,23614.97144577721
2023-10-01,23244.99495073946,25031.057099738948,27307.63716643916,23244.99495073946,23244.99495073946,2926.3545100825445,2926.3545100825445,2926.3545100825445,2926.3545100825445,2926.3545100825445,2926.3545100825445,0.0,0.0,0.0,26171.349460822003
2023-11-01,23204.76799008034,20875.69076439252,22976.870952598147,23204.76799008034,23204.76799008034,-1275.4810367345744,-1275.4810367345744,-1275.4810367345744,-1275.4810367345744,-1275.4810367345744,-1275.4810367345744,0.0,0.0,0.0,21929.286953345767
2023-12-01,23166.083330520738,22528.294525603767,24521.57171892829,23166.083330520738,23166.083330520738,419.86780729481416,419.86780729481416,419.86780729481416,419.86780729481416,419.86780729481416,419.86780729481416,0.0,0.0,0.0,23585.95113781555
2024-01-01,23126.321054680706,23579.226194771913,25690.008939811527,23126.321054680706,23126.321054680706,1492.268547663913,1492.268547663913,1492.268547663913,1492.268547663913,1492.268547663913,1492.268547663913,0.0,0.0,0.0,24618.58960234462
2024-02-01,23162.64600729076,23251.2577517399,25293.58492325776,23162.64600729076,23162.64600729076,1153.1006965080107,1153.1006965080107,1153.1006965080107,1153.1006965080107,1153.1006965080107,1153.1006965080107,0.0,0.0,0.0,24315.746703798774
2024-03-01,23197.027828705366,21296.26601171045,23308.366434301584,23197.027828705366,23197.027828705366,-909.4971329620629,-909.4971329620629,-909.4971329620629,-909.4971329620629,-909.4971329620629,-909.4971329620629,0.0,0.0,0.0,22287.530695743302
2024-04-01,23233.80839116452,23366.61137143895,25550.759115274497,23233.80839116452,23233.80839116452,1229.5484208547566,1229.5484208547566,1229.5484208547566,1229.5484208547566,1229.5484208547566,1229.5484208547566,0.0,0.0,0.0,24463.356812019276
2024-05-01,23269.402493181275,24441.15092741531,26614.249173459106,23269.402493181275,23269.402493181275,2258.640813551031,2258.640813551031,2258.640813551031,2258.640813551031,2258.640813551031,2258.640813551031,0.0,0.0,0.0,25528.043306732307
2024-06-01,23306.183065612742,19830.93746089295,21994.47705016648,23306.183065612742,23306.183065612742,-2396.3980004822315,-2396.3980004822315,-2396.3980004822315,-2396.3980004822315,-2396.3980004822315,-2396.3980004822315,0.0,0.0,0.0,20909.785065130513
2024-07-01,23341.777168264944,18470.73998901162,20604.549037592253,23341.777168264944,23341.777168264944,-3867.6966480061615,-3867.6966480061615,-3867.6966480061615,-3867.6966480061615,-3867.6966480061615,-3867.6966480061615,0.0,0.0,0.0,19474.080520258784
2024-08-01,23378.5577409473,22644.21356844504,24717.08066292479,23378.5577409473,23378.5577409473,361.7698531427195,361.7698531427195,361.7698531427195,361.7698531427195,361.7698531427195,361.7698531427195,0.0,0.0,0.0,23740.32759409002
2024-09-01,23415.33831324009,25353.863243777178,27385.75902406839,23415.33831324009,23415.33831324009,2945.170287910028,2945.170287910028,2945.170287910028,2945.170287910028,2945.170287910028,2945.170287910028,0.0,0.0,0.0,26360.508601150115
2024-10-01,23450.932415222185,22307.52126980083,24395.854577937265,23450.932415222185,23450.932415222185,-48.78407683856442,-48.78407683856442,-48.78407683856442,-48.78407683856442,-48.78407683856442,-48.78407683856442,0.0,0.0,0.0,23402.14833838362
2024-11-01,23487.712987270348,24051.509289702597,26105.45695842329,23487.712987270348,23487.712987270348,1583.42930847276,1583.42930847276,1583.42930847276,1583.42930847276,1583.42930847276,1583.42930847276,0.0,0.0,0.0,25071.14229574311
2024-12-01,23523.30708925244,20716.710830009426,22780.32677383708,23523.30708925244,23523.30708925244,-1771.9457735635801,-1771.9457735635801,-1771.9457735635801,-1771.9457735635801,-1771.9457735635801,-1771.9457735635801,0.0,0.0,0.0,21751.36131568886
