ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,24108.39259271,22179.47128462956,23917.429271594076,24108.39259271,24108.39259271,-1030.9617096980614,-1030.9617096980614,-1030.9617096980614,-1030.9617096980614,-1030.9617096980614,-1030.9617096980614,0.0,0.0,0.0,23077.430883011937
2023-02-01,24053.708530568456,23478.93887633879,25167.90251615963,24053.708530568456,24053.708530568456,286.6758970693917,286.6758970693917,286.6758970693917,286.6758970693917,286.6758970693917,286.6758970693917,0.0,0.0,0.0,24340.384427637848
2023-03-01,24004.316468442612,23179.33776909625,24882.597965468743,24004.316468442612,24004.316468442612,-17.220205801361978,-17.220205801361978,-17.220205801361978,-17.220205801361978,-17.220205801361978,-17.220205801361978,0.0,0.0,0.0,23987.09626264125
2023-04-01,23949.632394473127,25613.527430291477,27301.9805148802,23949.632394473127,23949.632394473127,2486.1823613354914,2486.1823613354914,2486.1823613354914,2486.1823613354914,2486.1823613354914,2486.1823613354914,0.0,0.0,0.0,26435.814755808617
2023-05-01,23896.712325647903,22910.534734730234,24588.190409152954,23896.712325647903,23896.712325647903,-175.82947506421402,-175.82947506421402,-175.82947506421402,-175.82947506421402,-175.82947506421402,-175.82947506421402,0.0,0.0,0.0,23720.88285058369
2023-06-01,23842.028247211765,20500.073377267505,22122.205066801427,23842.028247211765,23842.028247211765,-2501.5137224090913,-2501.5137224090913,-2501.5137224090913,-2501.5137224090913,-2501.5137224090913,-2501.5137224090913,0.0,0.0,0.0,21340.514524802675
2023-07-01,23789.10816275865,24524.183281403497,26195.516463765878,23789.10816275865,23789.10816275865,1559.140598142985,1559.140598142985,1559.140598142985,1559.140598142985,1559.140598142985,1559.140598142985,0.0,0.0,0.0,25348.248760901635
2023-08-01,23734.42407952208,22293.614006689128,23925.306107828434,23734.42407952208,23734.42407952208,-658.0524537552745,-658.0524537552745,-658.0524537552745,-658.0524537552745,-658.0524537552745,-658.0524537552745,0.0,0.0,0.0,23076.371625766806
2023-09-01,23679.739991932234,21586.99876197395,23308.62316772292,23679.739991932234,23679.739991932234,-1234.4749999373694,-1234.4749999373694,-1234.4749999373694,-1234.4749999373694,-1234.4749999373694,-1234.4749999373694,0.0,0.0,0.0,22445.264991994864
2023-10-01,23626.819903773223,23693.691270339787,25292.014263725207,23626.819903773223,23626.819903773223,874.7722266164254,874.7722266164254,874.7722266164254,874.7722266164254,874.7722266164254,874.7722266164254,0.0,0.0,0.0,24501.592130389647
2023-11-01,23572.135819921958,21646.46930380126,23233.922823750825,23572.135819921958,23572.135819921958,-1117.9646978942726,-1117.9646978942726,-1117.9646978942726,-1117.9646978942726,-1117.9646978942726,-1117.9646978942726,0.0,0.0,0.0,22454.171122027685
2023-12-01,23519.223133149153,20221.352316315475,21823.497118350766,23519.223133149153,23519.223133149153,-2551.375984001648,-2551.375984001648,-2551.375984001648,-2551.375984001648,-2551.375984001648,-2551.375984001648,0.0,0.0,0.0,20967.847149147507
2024-01-01,23464.66123292489,22528.13869768325,24119.227029123802,23464.66123292489,23464.66123292489,-191.17968981361514,-191.17968981361514,-191.17968981361514,-191.17968981361514,-191.17968981361514,-191.17968981361514,0.0,0.0,0.0,23273.481543111273
2024-02-01,23410.240063719968,23042.29677722336,24745.639423115943,23410.240063719968,23410.240063719968,493.7959002573924,493.7959002573924,493.7959002573924,493.7959002573924,493.7959002573924,493.7959002573924,0.0,0.0,0.0,23904.03596397736
2024-03-01,23359.705637617688,23306.13156066154,24947.70468349912,23359.705637617688,23359.705637617688,782.2361075976783,782.2361075976783,782.2361075976783,782.2361075976783,782.2361075976783,782.2361075976783,0.0,0.0,0.0,24141.941745215365
2024-04-01,23305.953509408933,22175.66476905908,23780.06346887908,23305.953509408933,23305.953509408933,-337.0142184569089,-337.0142184569089,-337.0142184569089,-337.0142184569089,-337.0142184569089,-337.0142184569089,0.0,0.0,0.0,22968.939290952025
