ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23216.38984362,21968.96726440634,23884.422880586455,23216.38984362,23216.38984362,-304.4201128361425,-304.4201128361425,-304.4201128361425,-304.4201128361425,-304.4201128361425,-304.4201128361425,0.0,0.0,0.0,22911.969730783858
2023-02-01,23243.66613289661,20518.489962577663,22543.833380934015,23243.66613289661,23243.66613289661,-1726.5135944105539,-1726.5135944105539,-1726.5135944105539,-1726.5135944105539,-1726.5135944105539,-1726.5135944105539,0.0,0.0,0.0,21517.152538486058
2023-03-01,23268.3027812439,19374.829892511774,21367.6305174536,23268.3027812439,23268.3027812439,-2890.14325527256,-2890.14325527256,-2890.14325527256,-2890.14325527256,-2890.14325527256,-2890.14325527256,0.0,0.0,0.0,20378.15952597134
2023-04-01,23295.579069882628,23277.584710698364,25350.11955710473,23295.579069882628,23295.579069882628,1005.1220589163165,1005.1220589163165,1005.1220589163165,1005.1220589163165,1005.1220589163165,1005.1220589163165,0.0,0.0,0.0,24300.701128798944
2023-05-01,23321.975474725656,20688.06191378774,22617.960560844007,23321.975474725656,23321.975474725656,-1681.8706014940865,-1681.8706014940865,-1681.8706014940865,-1681.8706014940865,-1681.8706014940865,-1681.8706014940865,0.0,0.0,0.0,21640.10487323157
2023-06-01,23349.25175558405,23233.693820506705,25204.931952839575,23349.25175558405,23349.25175558405,922.8928847020966,922.8928847020966,922.8928847020966,922.8928847020966,922.8928847020966,922.8928847020966,0.0,0.0,0.0,24272.144640286147
2023-07-01,23375.64815814319,22964.339217198223,24994.540920608477,23375.64815814319,23375.64815814319,596.1983684866306,596.1983684866306,596.1983684866306,596.1983684866306,596.1983684866306,596.1983684866306,0.0,0.0,0.0,23971.846526629823
2023-08-01,23402.924438338385,22814.821542061196,24765.548026122906,23402.924438338385,23402.924438338385,412.29190248276933,412.29190248276933,412.29190248276933,412.29190248276933,412.29190248276933,412.29190248276933,0.0,0.0,0.0,23815.216340821153
2023-09-01,23430.200714797254,19627.19759934655,21523.604277966908,23430.200714797254,23430.200714797254,-2880.8482719575895,-2880.8482719575895,-2880.8482719575895,-2880.8482719575895,-2880.8482719575895,-2880.8482719575895,0.0,0.0,0.0,20549.352442839663
2023-10-01,23456.597114495784,20680.66780948369,22604.285542601927,23456.597114495784,23456.597114495784,-1791.4311140959087,-1791.4311140959087,-1791.4311140959087,-1791.4311140959087,-1791.4311140959087,-1791.4311140959087,0.0,0.0,0.0,21665.166000399877
