ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23281.689204320006,21610.236422310252,22608.703842627358,23281.689204320006,23281.689204320006,-1175.8667002448635,-1175.8667002448635,-1175.8667002448635,-1175.8667002448635,-1175.8667002448635,-1175.8667002448635,0.0,0.0,0.0,22105.822504075142
2023-02-01,23265.926857406597,23550.975771414687,24575.433853753213,23265.926857406597,23265.926857406597,813.9852762133339,813.9852762133339,813.9852762133339,813.9852762133339,813.9852762133339,813.9852762133339,0.0,0.0,0.0,24079.91213361993
2023-03-01,23251.68990027001,22004.22814595978,23107.89991052559,23251.68990027001,23251.68990027001,-670.2066942458993,-670.2066942458993,-670.2066942458993,-670.2066942458993,-670.2066942458993,-670.2066942458993,0.0,0.0,0.0,22581.48320602411
2023-04-01,23235.927555346185,22674.945535411265,23667.790557725086,23235.927555346185,23235.927555346185,-65.0946528893348,-65.0946528893348,-65.0946528893348,-65.0946528893348,-65.0946528893348,-65.0946528893348,0.0,0.0,0.0,23170.83290245685
2023-05-01,23220.673673345933,24635.952499703664,25650.161820331992,23220.673673345933,23220.673673345933,1901.2825978704832,1901.2825978704832,1901.2825978704832,1901.2825978704832,1901.2825978704832,1901.2825978704832,0.0,0.0,0.0,25121.956271216415
2023-06-01,23204.911326975776,23540.83128931327,24593.286460192798,23204.911326975776,23204.911326975776,872.0808336725929,872.0808336725929,872.0808336725929,872.0808336725929,872.0808336725929,872.0808336725929,0.0,0.0,0.0,24076.99216064837
2023-07-01,23189.657441592168,24671.85024545652,25751.05181167512,23189.657441592168,23189.657441592168,2041.127739720853,2041.127739720853,2041.127739720853,2041.127739720853,2041.127739720853,2041.127739720853,0.0,0.0,0.0,25230.785181313022
2023-08-01,23173.89509407605,22264.95548886841,23334.98359528114,23173.89509407605,23173.89509407605,-370.2174594085769,-370.2174594085769,-370.2174594085769,-370.2174594085769,-370.2174594085769,-370.2174594085769,0.0,0.0,0.0,22803.677634667474
2023-09-01,23158.13274567453,22588.51552217644,23590.035358888366,23158.13274567453,23158.13274567453,-65.54916567648236,-65.54916567648236,-65.54916567648236,-65.54916567648236,-65.54916567648236,-65.54916567648236,0.0,0.0,0.0,23092.58357999805
2023-10-01,23142.87886044962,19997.275067047696,21022.16303109018,23142.87886044962,23142.87886044962,-2576.695752902156,-2576.695752902156,-2576.695752902156,-2576.695752902156,-2576.695752902156,-2576.695752902156,0.0,0.0,0.0,20566.183107547462
2023-11-01,23127.11659140333,19891.691152339255,20941.892959630964,23127.11659140333,23127.11659140333,-2700.084391377281,-2700.084391377281,-2700.084391377281,-2700.084391377281,-2700.084391377281,-2700.084391377281,0.0,0.0,0.0,20427.03220002605
2023-12-01,23112.138106351827,22969.934744143386,23999.24794281919,23112.138106351827,23112.138106351827,373.6559729788261,373.6559729788261,373.6559729788261,373.6559729788261,373.6559729788261,373.6559729788261,0.0,0.0,0.0,23485.794079330655
2024-01-01,23097.08181923187,22189.49845467782,23226.3046640865,23097.08181923187,23097.08181923187,-395.46015437880834,-395.46015437880834,-395.46015437880834,-395.46015437880834,-395.46015437880834,-395.46015437880834,0.0,0.0,0.0,22701.62166485306
2024-02-01,23082.61175815688,23243.51431785472,24317.408424048634,23082.61175815688,23082.61175815688,688.4440435064857,688.4440435064857,688.4440435064857,688.4440435064857,688.4440435064857,688.4440435064857,0.0,0.0,0.0,23771.055801663366
2024-03-01,23069.68859123927,22827.991942328663,23859.56761122157,23069.68859123927,23069.68859123927,246.8419164897517,246.8419164897517,246.8419164897517,246.8419164897517,246.8419164897517,246.8419164897517,0.0,0.0,0.0,23316.530507729025
2024-04-01,23056.02913073849,24798.698814426134,25810.076353343513,23056.02913073849,23056.02913073849,2237.1203895374074,2237.1203895374074,2237.1203895374074,2237.1203895374074,2237.1203895374074,2237.1203895374074,0.0,0.0,0.0,25293.149520275896
2024-05-01,23042.89529522334,23578.464047391164,24629.369673010813,23042.89529522334,23042.89529522334,1036.9323099306025,1036.9323099306025,1036.9323099306025,1036.9323099306025,1036.9323099306025,1036.9323099306025,0.0,0.0,0.0,24079.827605153943
