ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,21402.90535097,21076.22632483593,22309.32458975663,21402.90535097,21402.90535097,298.9901894804192,298.9901894804192,298.9901894804192,298.9901894804192,298.9901894804192,298.9901894804192,0.0,0.0,0.0,21701.89554045042
2023-02-01,21728.84591389563,22838.61127082686,24035.444195215758,21728.84591389563,21728.84591389563,1704.8181421140482,1704.8181421140482,1704.8181421140482,1704.8181421140482,1704.8181421140482,1704.8181421140482,0.0,0.0,0.0,23433.66405600968
2023-03-01,22023.24383805806,22192.814144881188,23469.26508985146,22023.24383805806,22023.24383805806,785.0976617105006,785.0976617105006,785.0976617105006,785.0976617105006,785.0976617105006,785.0976617105006,0.0,0.0,0.0,22808.34149976856
2023-04-01,22349.18438666614,24106.687049514843,25359.246696467006,22349.18438666614,22349.18438666614,2379.4412242983067,2379.4412242983067,2379.4412242983067,2379.4412242983067,2379.4412242983067,2379.4412242983067,0.0,0.0,0.0,24728.625610964446
2023-05-01,22664.60039924152,20976.77776737698,22211.266323162028,22664.60039924152,22664.60039924152,-1060.2113936094474,-1060.2113936094474,-1060.2113936094474,-1060.2113936094474,-1060.2113936094474,-1060.2113936094474,0.0,0.0,0.0,21604.389005632074
2023-06-01,22990.52903028779,22976.70234062494,24247.909432298566,22990.52903028779,22990.52903028779,639.4099648071057,639.4099648071057,639.4099648071057,639.4099648071057,639.4099648071057,639.4099648071057,0.0,0.0,0.0,23629.938995094897
2023-07-01,22944.067068974855,22856.169500140746,24100.138900167836,22944.067068974855,22944.067068974855,517.7759965322898,517.7759965322898,517.7759965322898,517.7759965322898,517.7759965322898,517.7759965322898,0.0,0.0,0.0,23461.843065507146
2023-08-01,22895.430193393597,23201.317465126383,24461.166945795205,22895.430193393597,22895.430193393597,918.9543221966023,918.9543221966023,918.9543221966023,918.9543221966023,918.9543221966023,918.9543221966023,0.0,0.0,0.0,23814.384515590198
2023-09-01,22846.31702195046,23468.88473772356,24722.366905105944,22846.31702195046,22846.31702195046,1235.9353360533687,1235.9353360533687,1235.9353360533687,1235.9353360533687,1235.9353360533687,1235.9353360533687,0.0,0.0,0.0,24082.25235800383
2023-10-01,22798.653611662063,20004.906993536675,21225.470106218487,22798.653611662063,22798.653611662063,-2181.8962605181096,-2181.8962605181096,-2181.8962605181096,-2181.8962605181096,-2181.8962605181096,-2181.8962605181096,0.0,0.0,0.0,20616.757351143955
2023-11-01,22749.398516473433,18934.109546050804,20125.570801171067,22749.398516473433,22749.398516473433,-3231.6438918112663,-3231.6438918112663,-3231.6438918112663,-3231.6438918112663,-3231.6438918112663,-3231.6438918112663,0.0,0.0,0.0,19517.754624662168
2023-12-01,22701.73229550258,23588.320828628635,24799.641437302853,22701.73229550258,22701.73229550258,1475.6244172511497,1475.6244172511497,1475.6244172511497,1475.6244172511497,1475.6244172511497,1475.6244172511497,0.0,0.0,0.0,24177.35671275373
2024-01-01,22652.477198773468,22414.028765674575,23679.520492996155,22652.477198773468,22652.477198773468,372.96615087308936,372.96615087308936,372.96615087308936,372.96615087308936,372.96615087308936,372.96615087308936,0.0,0.0,0.0,23025.443349646557
2024-02-01,22603.22210433625,22890.408853966346,24087.54546271209,22603.22210433625,22603.22210433625,875.12277149867,875.12277149867,875.12277149867,875.12277149867,875.12277149867,875.12277149867,0.0,0.0,0.0,23478.344875834922
2024-03-01,22557.144758858984,22904.38836092417,24166.660816492782,22557.144758858984,22557.144758858984,967.0096029753622,967.0096029753622,967.0096029753622,967.0096029753622,967.0096029753622,967.0096029753622,0.0,0.0,0.0,23524.154361834346
2024-04-01,22507.88966477192,21509.88764851842,22756.564282186544,22507.88966477192,22507.88966477192,-364.61781568236404,-364.61781568236404,-364.61781568236404,-364.61781568236404,-364.61781568236404,-364.61781568236404,0.0,0.0,0.0,22143.271849089557
2024-05-01,22460.385815911977,21450.163319931304,22689.64034184493,22460.385815911977,22460.385815911977,-374.5622185431663,-374.5622185431663,-374.5622185431663,-374.5622185431663,-374.5622185431663,-374.5622185431663,0.0,0.0,0.0,22085.82359736881
2024-06-01,22411.9582021534,23109.48501206231,24336.661324631663,22411.9582021534,22411.9582021534,1300.5732249742819,1300.5732249742819,1300.5732249742819,1300.5732249742819,1300.5732249742819,1300.5732249742819,0.0,0.0,0.0,23712.531427127684
2024-07-01,22365.981043811404,22663.238269415946,23827.404696793717,22365.981043811404,22365.981043811404,865.9925969100642,865.9925969100642,865.9925969100642,865.9925969100642,865.9925969100642,865.9925969100642,0.0,0.0,0.0,23231.97364072147
2024-08-01,22319.7537794995,22141.62196534172,23380.608028133112,22319.7537794995,22319.7537794995,448.5706737911745,448.5706737911745,448.5706737911745,448.5706737911745,448.5706737911745,448.5706737911745,0.0,0.0,0.0,22768.324453290676
2024-09-01,22274.364408688594,21971.76937625858,23246.80947897635,22274.364408688594,22274.364408688594,306.0765228393497,306.0765228393497,306.0765228393497,306.0765228393497,306.0765228393497,306.0765228393497,0.0,0.0,0.0,22580.440931527944
2024-10-01,22230.851643790043,21513.18354703082,22715.378089378097,22230.851643790043,22230.851643790043,-108.63695505829196,-108.63695505829196,-108.63695505829196,-108.63695505829196,-108.63695505829196,-108.63695505829196,0.0,0.0,0.0,22122.21468873175
2024-11-01,22185.888453394877,17786.146396338438,19028.7980469919,22185.888453394877,22185.888453394877,-3741.586858360941,-3741.586858360941,-3741.586858360941,-3741.586858360941,-3741.586858360941,-3741.586858360941,0.0,0.0,0.0,18444.301595033936
2024-12-01,22142.37568849633,21201.279505730672,22433.079144034447,22142.37568849633,22142.37568849633,-327.25168867778655,-327.25168867778655,-327.25168867778655,-327.25168867778655,-327.25168867778655,-327.25168867778655,0.0,0.0,0.0,21815.123999818545
2025-01-01,22097.412498101166,21581.75560701482,22829.41602070994,22097.412498101166,22097.412498101166,88.5019509362235,88.5019509362235,88.5019509362235,88.5019509362235,88.5019509362235,88.5019509362235,0.0,0.0,0.0,22185.91444903739
2025-02-01,22052.449307705996,24770.778572754825,25971.45846730641,22052.449307705996,22052.449307705996,3348.164503673557,3348.164503673557,3348.164503673557,3348.164503673557,3348.164503673557,3348.164503673557,0.0,0.0,0.0,25400.613811379553
2025-03-01,22011.837393800688,22255.228176925157,23495.606504707357,22011.837393800688,22011.837393800688,883.8213146133373,883.8213146133373,883.8213146133373,883.8213146133373,883.8213146133373,883.8213146133373,0.0,0.0,0.0,22895.658708414026
2025-03-31,21968.32462890214,25524.016922156028,26752.421140246657,21957.519437160096,21982.316485407602,4208.719780112887,4208.719780112887,4208.719780112887,4208.719780112887,4208.719780112887,4208.719780112887,0.0,0.0,0.0,26177.044409015027
2025-04-30,21924.81186400359,19759.371369484667,20955.6834823697,21886.833983434037,21969.694427351395,-1588.2274987619096,-1588.2274987619096,-1588.2274987619096,-1588.2274987619096,-1588.2274987619096,-1588.2274987619096,0.0,0.0,0.0,20336.58436524168
2025-05-31,21879.848673608423,21456.668664835204,22750.368839775438,21801.172931501576,21966.378019009946,188.3993011062061,188.3993011062061,188.3993011062061,188.3993011062061,188.3993011062061,188.3993011062061,0.0,0.0,0.0,22068.247974714628
2025-06-30,21836.335908709876,21550.361815930584,22819.272265727854,21713.99113666587,21966.6515724466,313.59771942736813,313.59771942736813,313.59771942736813,313.59771942736813,313.59771942736813,313.59771942736813,0.0,0.0,0.0,22149.933628137245
2025-07-31,21791.372718314713,22416.883622226884,23743.284176559893,21612.400322075053,21970.408626325232,1252.7527872197084,1252.7527872197084,1252.7527872197084,1252.7527872197084,1252.7527872197084,1252.7527872197084,0.0,0.0,0.0,23044.125505534423
2025-08-31,21746.409527919543,22904.482152056516,24270.068400436827,21504.97220751507,21983.85896425323,1807.8737582678414,1807.8737582678414,1807.8737582678414,1807.8737582678414,1807.8737582678414,1807.8737582678414,0.0,0.0,0.0,23554.283286187383
2025-09-30,21702.896763020995,17478.780105188653,18848.61215633141,21390.85532681503,22003.086895568154,-3552.4402837720995,-3552.4402837720995,-3552.4402837720995,-3552.4402837720995,-3552.4402837720995,-3552.4402837720995,0.0,0.0,0.0,18150.456479248896
2025-10-31,21657.933572625832,18166.028423826985,19584.836335197837,21276.79172172487,22029.871026418492,-2804.4956368703893,-2804.4956368703893,-2804.4956368703893,-2804.4956368703893,-2804.4956368703893,-2804.4956368703893,0.0,0.0,0.0,18853.437935755443
2025-11-30,21614.420807727285,23507.862594435395,25034.52962169344,21153.011536013368,22052.4590274027,2651.3081634901187,2651.3081634901187,2651.3081634901187,2651.3081634901187,2651.3081634901187,2651.3081634901187,0.0,0.0,0.0,24265.728971217402
2025-12-31,21569.457617332115,21204.561513129098,22784.01606988171,21036.941911610644,22083.860692978506,458.30438850222697,458.30438850222697,458.30438850222697,458.30438850222697,458.30438850222697,458.30438850222697,0.0,0.0,0.0,22027.762005834342
2026-01-31,21524.49442693695,19933.811295681393,21668.242699771123,20908.808733603903,22120.446478417423,-795.2983613651554,-795.2983613651554,-795.2983613651554,-795.2983613651554,-795.2983613651554,-795.2983613651554,0.0,0.0,0.0,20729.196065571796
2026-02-28,21483.88251303164,21400.63432349939,23259.461106602517,20786.96557668461,22142.75230622187,805.6750675571374,805.6750675571374,805.6750675571374,805.6750675571374,805.6750675571374,805.6750675571374,0.0,0.0,0.0,22289.55758058878
