ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22040.110917299997,21699.56317696228,23301.636718989215,22040.110917299997,22040.110917299997,457.7077093702532,457.7077093702532,457.7077093702532,457.7077093702532,457.7077093702532,457.7077093702532,0.0,0.0,0.0,22497.81862667025
2023-02-01,22162.127759907467,22156.3102469383,23860.240294700357,22162.127759907467,22162.127759907467,886.762925357432,886.762925357432,886.762925357432,886.762925357432,886.762925357432,886.762925357432,0.0,0.0,0.0,23048.890685264898
2023-03-01,22272.336519149252,21296.607877819035,22906.27002634732,22272.336519149252,22272.336519149252,-87.30546476528356,-87.30546476528356,-87.30546476528356,-87.30546476528356,-87.30546476528356,-87.30546476528356,0.0,0.0,0.0,22185.03105438397
2023-04-01,22394.353360536512,20116.48362166469,21758.636053223774,22394.353360536512,22394.353360536512,-1454.333404637022,-1454.333404637022,-1454.333404637022,-1454.333404637022,-1454.333404637022,-1454.333404637022,0.0,0.0,0.0,20940.01995589949
2023-05-01,22512.4341735309,22932.719157169144,24502.76019245075,22512.4341735309,22512.4341735309,1167.4254133041081,1167.4254133041081,1167.4254133041081,1167.4254133041081,1167.4254133041081,1167.4254133041081,0.0,0.0,0.0,23679.859586835006
2023-06-01,22634.451014117007,22071.104524303413,23678.007510470026,22634.451014117007,22634.451014117007,296.0234452394496,296.0234452394496,296.0234452394496,296.0234452394496,296.0234452394496,296.0234452394496,0.0,0.0,0.0,22930.474459356457
2023-07-01,22752.531827110746,19921.244055290495,21506.096612606496,22752.531827110746,22752.531827110746,-2020.39123789949,-2020.39123789949,-2020.39123789949,-2020.39123789949,-2020.39123789949,-2020.39123789949,0.0,0.0,0.0,20732.140589211256
2023-08-01,22874.54866578883,21378.75742526072,22998.787568831056,22874.54866578883,22874.54866578883,-697.3755867948015,-697.3755867948015,-697.3755867948015,-697.3755867948015,-697.3755867948015,-697.3755867948015,0.0,0.0,0.0,22177.173078994027
2023-09-01,22996.56550366017,22904.715486653797,24545.005583015227,22996.56550366017,22996.56550366017,741.6780483563336,741.6780483563336,741.6780483563336,741.6780483563336,741.6780483563336,741.6780483563336,0.0,0.0,0.0,23738.243552016505
2023-10-01,23114.646312993107,22176.891073447547,23820.666795391426,23114.646312993107,23114.646312993107,-90.64686710050329,-90.64686710050329,-90.64686710050329,-90.64686710050329,-90.64686710050329,-90.64686710050329,0.0,0.0,0.0,23023.999445892605
2023-11-01,23236.610879408683,26356.755928790633,28029.773343102966,23236.610879408683,23236.610879408683,3953.0999187558,3953.0999187558,3953.0999187558,3953.0999187558,3953.0999187558,3953.0999187558,0.0,0.0,0.0,27189.710798164484
2023-12-01,23354.094063102115,21309.748716123886,22966.05011499491,23354.094063102115,23354.094063102115,-1169.3215171364843,-1169.3215171364843,-1169.3215171364843,-1169.3215171364843,-1169.3215171364843,-1169.3215171364843,0.0,0.0,0.0,22184.772545965632
2024-01-01,23299.2980989879,23593.006324446327,25231.9995139279,23299.2980989879,23299.2980989879,1097.7344175742085,1097.7344175742085,1097.7344175742085,1097.7344175742085,1097.7344175742085,1097.7344175742085,0.0,0.0,0.0,24397.032516562107
2024-02-01,23243.75591857145,22261.417479442996,23905.069561630007,23243.75591857145,23243.75591857145,-155.35610445465096,-155.35610445465096,-155.35610445465096,-155.35610445465096,-155.35610445465096,-155.35610445465096,0.0,0.0,0.0,23088.399814116798
2024-03-01,23191.577168486496,21444.33549262303,23055.263132148433,23191.577168486496,23191.577168486496,-971.6255376185701,-971.6255376185701,-971.6255376185701,-971.6255376185701,-971.6255376185701,-971.6255376185701,0.0,0.0,0.0,22219.951630867927
2024-04-01,23135.79328068956,21617.136823448847,23287.434508570077,23135.79328068956,23135.79328068956,-671.1011347698918,-671.1011347698918,-671.1011347698918,-671.1011347698918,-671.1011347698918,-671.1011347698918,0.0,0.0,0.0,22464.692145919667
2024-05-01,23081.80158613427,21089.743055785046,22823.612036638693,23081.80158613427,23081.80158613427,-1133.3567782832538,-1133.3567782832538,-1133.3567782832538,-1133.3567782832538,-1133.3567782832538,-1133.3567782832538,0.0,0.0,0.0,21948.444807851014
