ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,25114.263585400004,23126.436886757918,24626.957423950298,25114.263585400004,25114.263585400004,-1214.8225277305855,-1214.8225277305855,-1214.8225277305855,-1214.8225277305855,-1214.8225277305855,-1214.8225277305855,0.0,0.0,0.0,23899.441057669417
2023-02-01,24956.676841116394,24662.932539054033,26071.639501718102,24956.676841116394,24956.676841116394,423.3005866688687,423.3005866688687,423.3005866688687,423.3005866688687,423.3005866688687,423.3005866688687,0.0,0.0,0.0,25379.977427785263
2023-03-01,24814.340426705505,22943.841315579695,24405.48827486847,24814.340426705505,24814.340426705505,-1141.1344406024057,-1141.1344406024057,-1141.1344406024057,-1141.1344406024057,-1141.1344406024057,-1141.1344406024057,0.0,0.0,0.0,23673.205986103098
2023-04-01,24656.75368388086,23376.267493451625,24768.047854403492,24656.75368388086,24656.75368388086,-560.7774631462731,-560.7774631462731,-560.7774631462731,-560.7774631462731,-560.7774631462731,-560.7774631462731,0.0,0.0,0.0,24095.976220734585
2023-05-01,24504.25038456875,25401.34439606227,26794.161611252104,24504.25038456875,24504.25038456875,1539.1107657176399,1539.1107657176399,1539.1107657176399,1539.1107657176399,1539.1107657176399,1539.1107657176399,0.0,0.0,0.0,26043.36115028639
2023-06-01,24346.663641568295,22457.745267172973,23887.842841489302,24346.663641568295,24346.663641568295,-1131.2142235543618,-1131.2142235543618,-1131.2142235543618,-1131.2142235543618,-1131.2142235543618,-1131.2142235543618,0.0,0.0,0.0,23215.449418013934
2023-07-01,24194.160342044794,23158.363441892026,24634.100305038788,24194.160342044794,24194.160342044794,-292.7421993099015,-292.7421993099015,-292.7421993099015,-292.7421993099015,-292.7421993099015,-292.7421993099015,0.0,0.0,0.0,23901.418142734892
2023-08-01,24036.573599522213,22008.45187100741,23498.356111750694,24036.573599522213,24036.573599522213,-1268.9500541550694,-1268.9500541550694,-1268.9500541550694,-1268.9500541550694,-1268.9500541550694,-1268.9500541550694,0.0,0.0,0.0,22767.623545367143
2023-09-01,23878.98685791651,23105.465132273417,24510.47969351668,23878.98685791651,23878.98685791651,-39.372266517382236,-39.372266517382236,-39.372266517382236,-39.372266517382236,-39.372266517382236,-39.372266517382236,0.0,0.0,0.0,23839.614591399128
2023-10-01,23726.483560377954,21706.39839328023,23171.17282287981,23726.483560377954,23726.483560377954,-1307.2891440627398,-1307.2891440627398,-1307.2891440627398,-1307.2891440627398,-1307.2891440627398,-1307.2891440627398,0.0,0.0,0.0,22419.194416315215
2023-11-01,23569.203247101337,22542.609946252258,23934.129249758982,23569.203247101337,23569.203247101337,-319.3903496271801,-319.3903496271801,-319.3903496271801,-319.3903496271801,-319.3903496271801,-319.3903496271801,0.0,0.0,0.0,23249.812897474156
2023-12-01,23417.153679631847,19067.63927554703,20513.000408487715,23417.153679631847,23417.153679631847,-3569.5962496869943,-3569.5962496869943,-3569.5962496869943,-3569.5962496869943,-3569.5962496869943,-3569.5962496869943,0.0,0.0,0.0,19847.557429944853
2024-01-01,23260.269040064926,22589.920397829515,24030.652534583132,23260.269040064926,23260.269040064926,43.791005968929056,43.791005968929056,43.791005968929056,43.791005968929056,43.791005968929056,43.791005968929056,0.0,0.0,0.0,23304.060046033854
2024-02-01,23269.68590680034,23564.436732792146,24960.98901477987,23269.68590680034,23269.68590680034,977.2764914717087,977.2764914717087,977.2764914717087,977.2764914717087,977.2764914717087,977.2764914717087,0.0,0.0,0.0,24246.962398272048
2024-03-01,23278.99653776493,23206.593516613353,24693.90018241126,23278.99653776493,23278.99653776493,656.483224579025,656.483224579025,656.483224579025,656.483224579025,656.483224579025,656.483224579025,0.0,0.0,0.0,23935.479762343955
2024-04-01,23289.242307799614,25516.77922908648,26946.017408515472,23289.242307799614,23289.242307799614,2899.592145303151,2899.592145303151,2899.592145303151,2899.592145303151,2899.592145303151,2899.592145303151,0.0,0.0,0.0,26188.834453102765
2024-05-01,23361.750165244,20320.211373537917,21762.00237981295,23361.750165244,23361.750165244,-2336.6169838459805,-2336.6169838459805,-2336.6169838459805,-2336.6169838459805,-2336.6169838459805,-2336.6169838459805,0.0,0.0,0.0,21025.13318139802
2024-06-01,23437.039779965857,22014.97498216249,23389.36051786015,23437.039779965857,23437.039779965857,-737.3130111990048,-737.3130111990048,-737.3130111990048,-737.3130111990048,-737.3130111990048,-737.3130111990048,0.0,0.0,0.0,22699.726768766854
2024-07-01,23510.085022227064,23348.35067600263,24818.218112890252,23510.085022227064,23510.085022227064,561.5892738349197,561.5892738349197,561.5892738349197,561.5892738349197,561.5892738349197,561.5892738349197,0.0,0.0,0.0,24071.674296061985
