ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22142.907333360003,20280.79611167954,22070.05252005159,22142.907333360003,22142.907333360003,-947.9420677279857,-947.9420677279857,-947.9420677279857,-947.9420677279857,-947.9420677279857,-947.9420677279857,0.0,0.0,0.0,21194.965265632018
2023-02-01,22102.92312902253,21157.327189780128,22930.156691389147,22102.92312902253,22102.92312902253,-60.07090497761929,-60.07090497761929,-60.07090497761929,-60.07090497761929,-60.07090497761929,-60.07090497761929,0.0,0.0,0.0,22042.85222404491
2023-03-01,22066.808404742234,22066.508466157513,23841.340565775277,22066.808404742234,22066.808404742234,868.4826083133938,868.4826083133938,868.4826083133938,868.4826083133938,868.4826083133938,868.4826083133938,0.0,0.0,0.0,22935.291013055627
2023-04-01,22026.824209197497,21620.0907196245,23496.26480131452,22026.824209197497,22026.824209197497,556.8661102609103,556.8661102609103,556.8661102609103,556.8661102609103,556.8661102609103,556.8661102609103,0.0,0.0,0.0,22583.69031945841
2023-05-01,21988.129837077762,21701.25411919984,23451.43570252633,21988.129837077762,21988.129837077762,604.843714503922,604.843714503922,604.843714503922,604.843714503922,604.843714503922,604.843714503922,0.0,0.0,0.0,22592.973551581683
2023-06-01,21948.14566633358,22347.69647118085,24093.737640345236,21948.14566633358,21948.14566633358,1248.339586428984,1248.339586428984,1248.339586428984,1248.339586428984,1248.339586428984,1248.339586428984,0.0,0.0,0.0,23196.485252762566
2023-07-01,21909.452378365517,21323.820388993252,23044.69165791625,21909.452378365517,21909.452378365517,292.4084308595949,292.4084308595949,292.4084308595949,292.4084308595949,292.4084308595949,292.4084308595949,0.0,0.0,0.0,22201.860809225112
2023-08-01,21869.812798030463,21878.907438762748,23617.972105871653,21869.812798030463,21869.812798030463,885.7437436045776,885.7437436045776,885.7437436045776,885.7437436045776,885.7437436045776,885.7437436045776,0.0,0.0,0.0,22755.55654163504
2023-09-01,21830.426677639825,21300.09070561996,23075.42001021066,21830.426677639825,21830.426677639825,366.68736310535587,366.68736310535587,366.68736310535587,366.68736310535587,366.68736310535587,366.68736310535587,0.0,0.0,0.0,22197.114040745182
2023-10-01,21793.24785339926,22861.850793489393,24732.563141467625,21793.24785339926,21793.24785339926,1980.959091384571,1980.959091384571,1980.959091384571,1980.959091384571,1980.959091384571,1980.959091384571,0.0,0.0,0.0,23774.206944783833
2023-11-01,21802.4750424839,19897.827263890744,21621.61728508455,21802.4750424839,21802.4750424839,-1049.1723645171967,-1049.1723645171967,-1049.1723645171967,-1049.1723645171967,-1049.1723645171967,-1049.1723645171967,0.0,0.0,0.0,20753.302677966705
2023-12-01,21812.233116915522,21385.435570817306,23222.809561641832,21812.233116915522,21812.233116915522,467.3824872059795,467.3824872059795,467.3824872059795,467.3824872059795,467.3824872059795,467.3824872059795,0.0,0.0,0.0,22279.6156041215
2024-01-01,21822.78084477078,20029.359455716974,21739.092942993153,21822.78084477078,21822.78084477078,-910.0977939484936,-910.0977939484936,-910.0977939484936,-910.0977939484936,-910.0977939484936,-910.0977939484936,0.0,0.0,0.0,20912.683050822285
2024-02-01,21833.62828500525,20370.206808321163,22081.047269156606,21833.62828500525,21833.62828500525,-581.4077429286698,-581.4077429286698,-581.4077429286698,-581.4077429286698,-581.4077429286698,-581.4077429286698,0.0,0.0,0.0,21252.22054207658
2024-03-01,21844.103961830504,21079.38214697931,22861.232677091873,21844.103961830504,21844.103961830504,103.47975057397515,103.47975057397515,103.47975057397515,103.47975057397515,103.47975057397515,103.47975057397515,0.0,0.0,0.0,21947.583712404477
2024-04-01,21878.53966947116,22240.24635472674,24027.462944119277,21878.53966947116,21878.53966947116,1281.2430863101622,1281.2430863101622,1281.2430863101622,1281.2430863101622,1281.2430863101622,1281.2430863101622,0.0,0.0,0.0,23159.78275578132
