ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,26045.00574635,23691.348858437763,25207.43497880009,26045.00574635,26045.00574635,-1590.9582261150958,-1590.9582261150958,-1590.9582261150958,-1590.9582261150958,-1590.9582261150958,-1590.9582261150958,0.0,0.0,0.0,24454.047520234904
2023-02-01,25832.05043992071,24218.23236724941,25860.229264341284,25832.05043992071,25832.05043992071,-834.1835489349547,-834.1835489349547,-834.1835489349547,-834.1835489349547,-834.1835489349547,-834.1835489349547,0.0,0.0,0.0,24997.866890985755
2023-03-01,25639.703711409937,22363.895805580087,23978.636918503904,25639.703711409937,25639.703711409937,-2471.964355486853,-2471.964355486853,-2471.964355486853,-2471.964355486853,-2471.964355486853,-2471.964355486853,0.0,0.0,0.0,23167.739355923084
2023-04-01,25426.74840437575,25160.47101353264,26716.37878750033,25426.74840437575,25426.74840437575,530.7839231440986,530.7839231440986,530.7839231440986,530.7839231440986,530.7839231440986,530.7839231440986,0.0,0.0,0.0,25957.53232751985
2023-05-01,25220.662623066426,23558.881279410212,25066.759388672323,25220.662623066426,25220.662623066426,-877.2036747735232,-877.2036747735232,-877.2036747735232,-877.2036747735232,-877.2036747735232,-877.2036747735232,0.0,0.0,0.0,24343.458948292904
2023-06-01,25007.707315793563,22511.001174182922,24053.91322842696,25007.707315793563,25007.707315793563,-1714.8476683157617,-1714.8476683157617,-1714.8476683157617,-1714.8476683157617,-1714.8476683157617,-1714.8476683157617,0.0,0.0,0.0,23292.859647477802
2023-07-01,24801.621534397415,22109.273559597095,23590.691468256024,24801.621534397415,24801.621534397415,-1981.0172515138368,-1981.0172515138368,-1981.0172515138368,-1981.0172515138368,-1981.0172515138368,-1981.0172515138368,0.0,0.0,0.0,22820.604282883578
2023-08-01,24588.66622679334,22803.60748731986,24372.36243866059,24588.66622679334,24588.66622679334,-959.4445768012065,-959.4445768012065,-959.4445768012065,-959.4445768012065,-959.4445768012065,-959.4445768012065,0.0,0.0,0.0,23629.221649992134
2023-09-01,24376.01552029326,22126.56715082005,23767.620971158638,24376.01552029326,24376.01552029326,-1477.1365743800104,-1477.1365743800104,-1477.1365743800104,-1477.1365743800104,-1477.1365743800104,-1477.1365743800104,0.0,0.0,0.0,22898.87894591325
2023-10-01,24170.529311123293,19745.934969298152,21338.20276116811,24170.529311123293,24170.529311123293,-3630.987437269586,-3630.987437269586,-3630.987437269586,-3630.987437269586,-3630.987437269586,-3630.987437269586,0.0,0.0,0.0,20539.54187385371
2023-11-01,23958.565503559068,24868.157026046294,26471.991174757546,23958.565503559068,23958.565503559068,1690.0257074832098,1690.0257074832098,1690.0257074832098,1690.0257074832098,1690.0257074832098,1690.0257074832098,0.0,0.0,0.0,25648.59121104228
2023-12-01,23754.249971339552,23471.45384886073,25016.990857985533,23754.249971339552,23754.249971339552,441.43181627470335,441.43181627470335,441.43181627470335,441.43181627470335,441.43181627470335,441.43181627470335,0.0,0.0,0.0,24195.681787614256
2024-01-01,23724.219060858857,21724.489781655095,23292.800838748593,23724.219060858857,23724.219060858857,-1207.5370080354492,-1207.5370080354492,-1207.5370080354492,-1207.5370080354492,-1207.5370080354492,-1207.5370080354492,0.0,0.0,0.0,22516.68205282341
2024-02-01,23694.72101997279,22764.902190479435,24368.401129190075,23694.72101997279,23694.72101997279,-115.36034502554922,-115.36034502554922,-115.36034502554922,-115.36034502554922,-115.36034502554922,-115.36034502554922,0.0,0.0,0.0,23579.36067494724
2024-03-01,23667.34202964995,23556.146554282408,25064.09223235687,23667.34202964995,23667.34202964995,626.4825024611547,626.4825024611547,626.4825024611547,626.4825024611547,626.4825024611547,626.4825024611547,0.0,0.0,0.0,24293.824532111106
2024-04-01,23638.20284862758,22497.929924871343,24069.15077804681,23638.20284862758,23638.20284862758,-318.2803271105448,-318.2803271105448,-318.2803271105448,-318.2803271105448,-318.2803271105448,-318.2803271105448,0.0,0.0,0.0,23319.922521517037
2024-05-01,23637.306544088955,23018.27423161288,24608.7578666155,23637.306544088955,23637.306544088955,185.00529624725922,185.00529624725922,185.00529624725922,185.00529624725922,185.00529624725922,185.00529624725922,0.0,0.0,0.0,23822.311840336213
2024-06-01,23637.238084962104,18725.99398511581,20253.17536252331,23637.238084962104,23637.238084962104,-4148.635110673711,-4148.635110673711,-4148.635110673711,-4148.635110673711,-4148.635110673711,-4148.635110673711,0.0,0.0,0.0,19488.60297428839
