ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,23738.474942599998,21357.239036225412,23986.87808000343,23738.474942599998,23738.474942599998,-1077.5659948959076,-1077.5659948959076,-1077.5659948959076,-1077.5659948959076,-1077.5659948959076,-1077.5659948959076,0.0,0.0,0.0,22660.90894770409
2023-02-01,23694.6751238335,20935.79987494256,23641.37674816791,23694.6751238335,23694.6751238335,-1374.3673041040538,-1374.3673041040538,-1374.3673041040538,-1374.3673041040538,-1374.3673041040538,-1374.3673041040538,0.0,0.0,0.0,22320.307819729445
2023-03-01,23655.113997832625,19251.866636315357,21934.55447247035,23655.113997832625,23655.113997832625,-3089.0816733526062,-3089.0816733526062,-3089.0816733526062,-3089.0816733526062,-3089.0816733526062,-3089.0816733526062,0.0,0.0,0.0,20566.032324480017
2023-04-01,23611.31418004862,23227.162906726844,25731.39338677423,23611.31418004862,23611.31418004862,859.4071360887621,859.4071360887621,859.4071360887621,859.4071360887621,859.4071360887621,859.4071360887621,0.0,0.0,0.0,24470.72131613738
2023-05-01,23568.927259450553,20914.1188001381,23576.382650096028,23568.927259450553,23568.927259450553,-1352.6684699463526,-1352.6684699463526,-1352.6684699463526,-1352.6684699463526,-1352.6684699463526,-1352.6684699463526,0.0,0.0,0.0,22216.2587895042
2023-06-01,23525.12744169585,22422.163681688216,25048.036947687062,23525.12744169585,23525.12744169585,220.69590102854715,220.69590102854715,220.69590102854715,220.69590102854715,220.69590102854715,220.69590102854715,0.0,0.0,0.0,23745.823342724398
2023-07-01,23482.740520916337,19831.82872306717,22603.771894429567,23482.740520916337,23482.740520916337,-2299.2769569883853,-2299.2769569883853,-2299.2769569883853,-2299.2769569883853,-2299.2769569883853,-2299.2769569883853,0.0,0.0,0.0,21183.46356392795
2023-08-01,23438.940703079206,21768.773805600365,24392.50452485347,23438.940703079206,23438.940703079206,-295.9678958013597,-295.9678958013597,-295.9678958013597,-295.9678958013597,-295.9678958013597,-295.9678958013597,0.0,0.0,0.0,23142.972807277845
2023-09-01,23395.140884807635,24661.11690472927,27281.019794584583,23395.140884807635,23395.140884807635,2487.1688487515253,2487.1688487515253,2487.1688487515253,2487.1688487515253,2487.1688487515253,2487.1688487515253,0.0,0.0,0.0,25882.30973355916
2023-10-01,23352.753963524516,23346.11364830456,26110.66401896941,23352.753963524516,23352.753963524516,1340.7464552666452,1340.7464552666452,1340.7464552666452,1340.7464552666452,1340.7464552666452,1340.7464552666452,0.0,0.0,0.0,24693.50041879116
2023-11-01,23308.95414373595,19202.534466141766,21971.314243740813,23308.95414373595,23308.95414373595,-2723.628314703658,-2723.628314703658,-2723.628314703658,-2723.628314703658,-2723.628314703658,-2723.628314703658,0.0,0.0,0.0,20585.325829032292
2023-12-01,23266.567220884983,22896.915773156903,25565.9926620105,23266.567220884983,23266.567220884983,956.2214502292595,956.2214502292595,956.2214502292595,956.2214502292595,956.2214502292595,956.2214502292595,0.0,0.0,0.0,24222.788671114242
2024-01-01,23222.767310917858,20356.16065341572,23119.11506941885,23222.767310917858,23222.767310917858,-1436.9765226341058,-1436.9765226341058,-1436.9765226341058,-1436.9765226341058,-1436.9765226341058,-1436.9765226341058,0.0,0.0,0.0,21785.790788283753
2024-02-01,23178.907619486166,21541.46516542802,24101.50811157586,23178.907619486166,23178.907619486166,-343.4946957432049,-343.4946957432049,-343.4946957432049,-343.4946957432049,-343.4946957432049,-343.4946957432049,0.0,0.0,0.0,22835.412923742962
2024-03-01,23137.877574217637,20908.389361073383,23640.12014126833,23137.877574217637,23137.877574217637,-835.66777568778,-835.66777568778,-835.66777568778,-835.66777568778,-835.66777568778,-835.66777568778,0.0,0.0,0.0,22302.209798529857
2024-04-01,23094.01786842357,20434.63301939934,23136.613386013018,23094.01786842357,23094.01786842357,-1302.5272990704761,-1302.5272990704761,-1302.5272990704761,-1302.5272990704761,-1302.5272990704761,-1302.5272990704761,0.0,0.0,0.0,21791.490569353093
2024-05-01,23051.572991098583,19852.81614766081,22357.33021337908,23051.572991098583,23051.572991098583,-1952.1388170215157,-1952.1388170215157,-1952.1388170215157,-1952.1388170215157,-1952.1388170215157,-1952.1388170215157,0.0,0.0,0.0,21099.43417407707
