ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,25118.765298989998,22512.792285972937,24978.215777634392,25118.765298989998,25118.765298989998,-1370.7077455608244,-1370.7077455608244,-1370.7077455608244,-1370.7077455608244,-1370.7077455608244,-1370.7077455608244,0.0,0.0,0.0,23748.057553429175
2023-02-01,25041.803560758683,23162.685847817043,25658.825612788107,25041.803560758683,25041.803560758683,-703.7661608013533,-703.7661608013533,-703.7661608013533,-703.7661608013533,-703.7661608013533,-703.7661608013533,0.0,0.0,0.0,24338.037399957328
2023-03-01,24972.28973259926,21599.75423326154,24264.476834898316,24972.28973259926,24972.28973259926,-2013.8252959798979,-2013.8252959798979,-2013.8252959798979,-2013.8252959798979,-2013.8252959798979,-2013.8252959798979,0.0,0.0,0.0,22958.46443661936
2023-04-01,24895.327994225216,23388.575977307853,25899.59104424092,24895.327994225216,24895.327994225216,-271.61543604842535,-271.61543604842535,-271.61543604842535,-271.61543604842535,-271.61543604842535,-271.61543604842535,0.0,0.0,0.0,24623.71255817679
2023-05-01,24820.848892515372,24339.897232292027,26870.445093329105,24820.848892515372,24820.848892515372,796.2975135023514,796.2975135023514,796.2975135023514,796.2975135023514,796.2975135023514,796.2975135023514,0.0,0.0,0.0,25617.146406017724
2023-06-01,24743.887154281,24812.047350171277,27352.696581427568,24743.887154281,24743.887154281,1377.9734363846526,1377.9734363846526,1377.9734363846526,1377.9734363846526,1377.9734363846526,1377.9734363846526,0.0,0.0,0.0,26121.860590665652
2023-07-01,24669.408052973224,22496.255335238577,25024.67004551018,24669.408052973224,24669.408052973224,-935.1501537380217,-935.1501537380217,-935.1501537380217,-935.1501537380217,-935.1501537380217,-935.1501537380217,0.0,0.0,0.0,23734.257899235203
2023-08-01,24592.44631482947,19073.963684921982,21638.30762779848,24592.44631482947,24592.44631482947,-4242.109857905975,-4242.109857905975,-4242.109857905975,-4242.109857905975,-4242.109857905975,-4242.109857905975,0.0,0.0,0.0,20350.336456923495
2023-09-01,24515.484576796618,24097.126365378466,26546.707093842346,24515.484576796618,24515.484576796618,823.9481334116315,823.9481334116315,823.9481334116315,823.9481334116315,823.9481334116315,823.9481334116315,0.0,0.0,0.0,25339.43271020825
2023-10-01,24441.005475384565,23047.78707859252,25476.848797949526,24441.005475384565,24441.005475384565,-201.00368315384623,-201.00368315384623,-201.00368315384623,-201.00368315384623,-201.00368315384623,-201.00368315384623,0.0,0.0,0.0,24240.00179223072
2023-11-01,24364.04373745505,22168.275199003903,24726.201176110986,24364.04373745505,24364.04373745505,-996.0675008936986,-996.0675008936986,-996.0675008936986,-996.0675008936986,-996.0675008936986,-996.0675008936986,0.0,0.0,0.0,23367.97623656135
2023-12-01,24289.564636430543,23112.838360371836,25566.83087299527,24289.564636430543,24289.564636430543,70.1745393558663,70.1745393558663,70.1745393558663,70.1745393558663,70.1745393558663,70.1745393558663,0.0,0.0,0.0,24359.73917578641
2024-01-01,24212.60289873667,21339.064312130566,23965.289958227713,24212.60289873667,24212.60289873667,-1690.4574325466854,-1690.4574325466854,-1690.4574325466854,-1690.4574325466854,-1690.4574325466854,-1690.4574325466854,0.0,0.0,0.0,22522.145466189984
2024-02-01,24135.642723653647,23106.207156577795,25581.156047866996,24135.642723653647,24135.642723653647,169.1865793396288,169.1865793396288,169.1865793396288,169.1865793396288,169.1865793396288,169.1865793396288,0.0,0.0,0.0,24304.829302993276
2024-03-01,24063.65246758409,23100.108226763434,25695.576214232842,24063.65246758409,24063.65246758409,299.65498324634916,299.65498324634916,299.65498324634916,299.65498324634916,299.65498324634916,299.65498324634916,0.0,0.0,0.0,24363.307450830438
2024-04-01,23986.69736646473,23520.66554842769,25985.495518175678,23986.69736646473,23986.69736646473,813.551330357054,813.551330357054,813.551330357054,813.551330357054,813.551330357054,813.551330357054,0.0,0.0,0.0,24800.248696821785
2024-05-01,23912.22468816005,23145.015681235003,25610.180772419764,23912.22468816005,23912.22468816005,501.65591107934307,501.65591107934307,501.65591107934307,501.65591107934307,501.65591107934307,501.65591107934307,0.0,0.0,0.0,24413.880599239394
2024-06-01,23835.269587522656,19536.28591416643,22052.681805661192,23835.269587522656,23835.269587522656,-3163.16112698816,-3163.16112698816,-3163.16112698816,-3163.16112698816,-3163.16112698816,-3163.16112698816,0.0,0.0,0.0,20672.108460534495
2024-07-01,23760.796909626482,23466.260568704434,25968.430313606514,23760.796909626482,23760.796909626482,995.8963797882117,995.8963797882117,995.8963797882117,995.8963797882117,995.8963797882117,995.8963797882117,0.0,0.0,0.0,24756.693289414696
2024-08-01,23683.841844181105,21758.282517036525,24290.069023087457,23683.841844181105,23683.841844181105,-679.7827845715708,-679.7827845715708,-679.7827845715708,-679.7827845715708,-679.7827845715708,-679.7827845715708,0.0,0.0,0.0,23004.059059609535
2024-09-01,23606.886779658864,22352.53412298047,24899.208930300538,23606.886779658864,23606.886779658864,83.07088277043948,83.07088277043948,83.07088277043948,83.07088277043948,83.07088277043948,83.07088277043948,0.0,0.0,0.0,23689.957662429304
2024-10-01,23532.41413673826,19514.04464811995,22111.62901293085,23532.41413673826,23532.41413673826,-2708.3265781259347,-2708.3265781259347,-2708.3265781259347,-2708.3265781259347,-2708.3265781259347,-2708.3265781259347,0.0,0.0,0.0,20824.087558612326
2024-11-01,23455.459072386977,22150.20815143645,24702.468565346513,23455.459072386977,23455.459072386977,-2.2020343327792062,-2.2020343327792062,-2.2020343327792062,-2.2020343327792062,-2.2020343327792062,-2.2020343327792062,0.0,0.0,0.0,23453.2570380542
2024-12-01,23380.98642946637,22233.50221846991,24755.160880068197,23380.98642946637,23380.98642946637,107.81968333677739,107.81968333677739,107.81968333677739,107.81968333677739,107.81968333677739,107.81968333677739,0.0,0.0,0.0,23488.806112803148
2025-01-01,23304.031365115086,21333.229361035294,23802.768599452746,23304.031365115086,23304.031365115086,-703.526876304122,-703.526876304122,-703.526876304122,-703.526876304122,-703.526876304122,-703.526876304122,0.0,0.0,0.0,22600.504488810966
2025-02-01,23227.076300763798,19418.609883032754,21978.546535647118,23227.076300763798,23227.076300763798,-2464.5754620366934,-2464.5754620366934,-2464.5754620366934,-2464.5754620366934,-2464.5754620366934,-2464.5754620366934,0.0,0.0,0.0,20762.500838727105
2025-03-01,23157.568500704572,21413.398146830583,23962.82578116823,23157.568500704572,23157.568500704572,-460.4929291702729,-460.4929291702729,-460.4929291702729,-460.4929291702729,-460.4929291702729,-460.4929291702729,0.0,0.0,0.0,22697.0755715343
2025-03-31,23083.095857783966,20929.00564532857,23420.007530522827,23083.095647818456,23083.096078123388,-918.5621801153612,-918.5621801153612,-918.5621801153612,-918.5621801153612,-918.5621801153612,-918.5621801153612,0.0,0.0,0.0,22164.533677668605
2025-04-30,23008.623214863368,22896.349457941993,25425.69005091092,23008.622537962496,23008.62394154275,1110.266137536991,1110.266137536991,1110.266137536991,1110.266137536991,1110.266137536991,1110.266137536991,0.0,0.0,0.0,24118.889352400358
2025-05-31,22931.66815051208,26022.079536365145,28616.623324002634,22931.666773829464,22931.66953279377,4340.696422633064,4340.696422633064,4340.696422633064,4340.696422633064,4340.696422633064,4340.696422633064,0.0,0.0,0.0,27272.364573145143
