ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,22639.25774402,23040.464903622546,25266.8199625087,22639.25774402,22639.25774402,1504.5752806213493,1504.5752806213493,1504.5752806213493,1504.5752806213493,1504.5752806213493,1504.5752806213493,0.0,0.0,0.0,24143.83302464135
2023-02-01,22681.414489489318,22074.06170074109,24417.878433459136,22681.414489489318,22681.414489489318,579.3598421176332,579.3598421176332,579.3598421176332,579.3598421176332,579.3598421176332,579.3598421176332,0.0,0.0,0.0,23260.77433160695
2023-03-01,22719.491550244587,19264.7164678236,21618.991921594683,22719.491550244587,22719.491550244587,-2260.4229733495354,-2260.4229733495354,-2260.4229733495354,-2260.4229733495354,-2260.4229733495354,-2260.4229733495354,0.0,0.0,0.0,20459.068576895053
2023-04-01,22761.64829569633,22530.01171035548,24770.972682209474,22761.64829569633,22761.64829569633,920.2330326572213,920.2330326572213,920.2330326572213,920.2330326572213,920.2330326572213,920.2330326572213,0.0,0.0,0.0,23681.881328353553
2023-05-01,22802.445146233407,19974.749872829958,22216.631847380835,22802.445146233407,22802.445146233407,-1690.337331821425,-1690.337331821425,-1690.337331821425,-1690.337331821425,-1690.337331821425,-1690.337331821425,0.0,0.0,0.0,21112.107814411982
2023-06-01,22844.601891467653,18970.225905099447,21251.99107656508,22844.601891467653,22844.601891467653,-2726.8172623659834,-2726.8172623659834,-2726.8172623659834,-2726.8172623659834,-2726.8172623659834,-2726.8172623659834,0.0,0.0,0.0,20117.78462910167
2023-07-01,22885.398741509085,20047.649219566596,22428.93924142076,22885.398741509085,22885.398741509085,-1658.2636949721718,-1658.2636949721718,-1658.2636949721718,-1658.2636949721718,-1658.2636949721718,-1658.2636949721718,0.0,0.0,0.0,21227.135046536914
2023-08-01,22927.555486467183,20455.6682459303,22754.816308108402,22927.555486467183,22927.555486467183,-1346.8204323762752,-1346.8204323762752,-1346.8204323762752,-1346.8204323762752,-1346.8204323762752,-1346.8204323762752,0.0,0.0,0.0,21580.735054090906
2023-09-01,22969.712231433605,24015.17440681,26304.428563054083,22969.712231433605,22969.712231433605,2167.330327405169,2167.330327405169,2167.330327405169,2167.330327405169,2167.330327405169,2167.330327405169,0.0,0.0,0.0,25137.042558838773
2023-10-01,23010.509081271586,20848.188245452333,23117.193043781906,23010.509081271586,23010.509081271586,-1032.9796224841816,-1032.9796224841816,-1032.9796224841816,-1032.9796224841816,-1032.9796224841816,-1032.9796224841816,0.0,0.0,0.0,21977.529458787405
2023-11-01,23052.66582644701,18451.09192679062,20721.675861129628,23052.66582644701,23052.66582644701,-3429.381880447627,-3429.381880447627,-3429.381880447627,-3429.381880447627,-3429.381880447627,-3429.381880447627,0.0,0.0,0.0,19623.283945999385
2023-12-01,23093.46267659521,20750.651657380567,23004.55236877128,23093.46267659521,23093.46267659521,-1199.9703205561564,-1199.9703205561564,-1199.9703205561564,-1199.9703205561564,-1199.9703205561564,-1199.9703205561564,0.0,0.0,0.0,21893.492356039053
2024-01-01,23135.619421812007,23965.992998011796,26356.171347448177,23135.619421812007,23135.619421812007,2030.3920569347295,2030.3920569347295,2030.3920569347295,2030.3920569347295,2030.3920569347295,2030.3920569347295,0.0,0.0,0.0,25166.011478746736
2024-02-01,23177.776166626707,23534.721382217274,25768.6683166979,23177.776166626707,23177.776166626707,1491.284062804459,1491.284062804459,1491.284062804459,1491.284062804459,1491.284062804459,1491.284062804459,0.0,0.0,0.0,24669.060229431165
2024-03-01,23217.21311751356,23185.368484371636,25514.145501166804,23217.21311751356,23217.21311751356,1117.1946650050068,1117.1946650050068,1117.1946650050068,1117.1946650050068,1117.1946650050068,1117.1946650050068,0.0,0.0,0.0,24334.407782518567
2024-04-01,23259.36985811691,19620.886187041884,21934.10307239016,23259.36985811691,23259.36985811691,-2466.1370473431966,-2466.1370473431966,-2466.1370473431966,-2466.1370473431966,-2466.1370473431966,-2466.1370473431966,0.0,0.0,0.0,20793.232810773712
2024-05-01,23300.166703539253,23332.59577053186,25733.490685866844,23300.166703539253,23300.166703539253,1202.9511581615648,1202.9511581615648,1202.9511581615648,1202.9511581615648,1202.9511581615648,1202.9511581615648,0.0,0.0,0.0,24503.11786170082
2024-06-01,23342.32344350309,21338.415121477505,23781.96214897331,23342.32344350309,23342.32344350309,-767.814492355471,-767.814492355471,-767.814492355471,-767.814492355471,-767.814492355471,-767.814492355471,0.0,0.0,0.0,22574.508951147618
2024-07-01,23383.11490548842,18312.123399736483,20647.984324041194,23383.11490548842,23383.11490548842,-3898.072157925703,-3898.072157925703,-3898.072157925703,-3898.072157925703,-3898.072157925703,-3898.072157925703,0.0,0.0,0.0,19485.042747562715
2024-08-01,23425.265839662632,20871.947418028623,23259.017183976306,23425.265839662632,23425.265839662632,-1331.8101136141552,-1331.8101136141552,-1331.8101136141552,-1331.8101136141552,-1331.8101136141552,-1331.8101136141552,0.0,0.0,0.0,22093.455726048476
2024-09-01,23467.365515104913,21156.667144735773,23452.91746493972,23467.365515104913,23467.365515104913,-1153.0153765152133,-1153.0153765152133,-1153.0153765152133,-1153.0153765152133,-1153.0153765152133,-1153.0153765152133,0.0,0.0,0.0,22314.3501385897
2024-10-01,23508.099553422107,22327.46416632666,24601.79827436545,23508.099553422107,23508.099553422107,-45.846033470862714,-45.846033470862714,-45.846033470862714,-45.846033470862714,-45.846033470862714,-45.846033470862714,0.0,0.0,0.0,23462.253519951246
