Date,District,Rent (₹),Utilities (₹),Groceries (₹),Transport (₹),Fuel Price (₹/liter),Healthcare (₹),Education (₹),Internet (₹),Total Monthly Expense (₹)
2020-01-01,Ahmedabad,11236.51,2588.82,5793.4,1828.34,97.32,807.38,2731.53,522.95,25508.94
2020-02-01,Ahmedabad,11335.04,2611.52,5844.21,1844.37,96.23,814.46,2755.49,527.54,25732.63
2020-03-01,Ahmedabad,11275.44,2597.79,5813.47,1834.67,97.2,810.18,2741.0,524.76,25597.31
2020-04-01,Ahmedabad,11258.32,2593.84,5804.65,1831.89,97.31,808.95,2736.83,523.97,25558.46
2020-05-01,Ahmedabad,11318.53,2607.72,5835.69,1841.69,97.26,813.28,2751.47,526.77,25695.15
2020-06-01,Ahmedabad,11260.47,2594.34,5805.76,1832.24,97.41,809.11,2737.36,524.07,25563.34
2020-07-01,Ahmedabad,11284.28,2599.82,5818.03,1836.11,97.15,810.82,2743.15,525.18,25617.39
2020-08-01,Ahmedabad,11207.64,2582.17,5778.52,1823.64,96.77,805.31,2724.52,521.61,25443.41
2020-09-01,Ahmedabad,11206.58,2581.92,5777.97,1823.47,97.3,805.23,2724.26,521.56,25440.99
2020-10-01,Ahmedabad,11277.07,2598.16,5814.31,1834.94,96.79,810.3,2741.39,524.84,25601.01
2020-11-01,Ahmedabad,11317.88,2607.57,5835.36,1841.58,97.62,813.23,2751.31,526.74,25693.67
2020-12-01,Ahmedabad,11247.83,2591.43,5799.24,1830.18,96.71,808.2,2734.28,523.48,25534.63
2021-01-01,Ahmedabad,11241.6,2589.99,5796.03,1829.17,97.47,807.75,2732.77,523.19,25520.49
2021-02-01,Ahmedabad,11312.4,2606.3,5832.53,1840.69,96.95,812.84,2749.98,526.49,25681.22
2021-03-01,Ahmedabad,11367.15,2618.92,5860.76,1849.6,97.62,816.77,2763.29,529.03,25805.53
2021-04-01,Ahmedabad,11240.25,2589.68,5795.33,1828.95,97.01,807.65,2732.44,523.13,25517.44
2021-05-01,Ahmedabad,11248.14,2591.5,5799.4,1830.23,97.07,808.22,2734.36,523.49,25535.36
2021-06-01,Ahmedabad,11335.03,2611.52,5844.2,1844.37,97.35,814.46,2755.48,527.54,25732.6
2021-07-01,Ahmedabad,11330.89,2610.56,5842.07,1843.7,97.42,814.17,2754.48,527.35,25723.21
2021-08-01,Ahmedabad,11378.04,2621.43,5866.37,1851.37,96.91,817.55,2765.94,529.54,25830.24
2021-09-01,Ahmedabad,11302.93,2604.12,5827.65,1839.15,96.59,812.16,2747.68,526.04,25659.73
2021-10-01,Ahmedabad,11207.38,2582.11,5778.39,1823.6,97.2,805.29,2724.45,521.6,25442.81
2021-11-01,Ahmedabad,11305.06,2604.61,5828.75,1839.49,97.19,812.31,2748.2,526.14,25664.57
2021-12-01,Ahmedabad,11249.59,2591.83,5800.15,1830.47,97.11,808.32,2734.71,523.56,25538.63
2022-01-01,Ahmedabad,11358.61,2616.95,5856.36,1848.21,97.11,816.16,2761.21,528.64,25786.13
2022-02-01,Ahmedabad,11379.99,2621.88,5867.38,1851.69,97.45,817.69,2766.41,529.63,25834.67
2022-03-01,Ahmedabad,11307.28,2605.12,5829.89,1839.86,96.87,812.47,2748.74,526.25,25669.59
2022-04-01,Ahmedabad,11334.17,2611.32,5843.76,1844.23,97.08,814.4,2755.27,527.5,25730.64
2022-05-01,Ahmedabad,11214.28,2583.7,5781.94,1824.72,97.37,805.79,2726.13,521.92,25458.47
2022-06-01,Ahmedabad,11203.38,2581.19,5776.32,1822.95,97.0,805.0,2723.48,521.41,25433.74
2022-07-01,Ahmedabad,11280.95,2599.06,5816.32,1835.57,97.87,810.58,2742.34,525.02,25609.83
2022-08-01,Ahmedabad,11242.85,2590.28,5796.67,1829.37,97.09,807.84,2733.07,523.25,25523.33
2022-09-01,Ahmedabad,11322.75,2608.69,5837.87,1842.37,96.86,813.58,2752.5,526.97,25704.71
2022-10-01,Ahmedabad,11306.45,2604.93,5829.46,1839.72,97.57,812.41,2748.53,526.21,25667.71
2022-11-01,Ahmedabad,11264.23,2595.2,5807.7,1832.85,97.52,809.38,2738.27,524.24,25571.87
2022-12-01,Ahmedabad,11297.93,2602.97,5825.07,1838.33,97.01,811.8,2746.46,525.81,25648.37
2023-01-01,Ahmedabad,11270.38,2596.62,5810.87,1833.85,97.11,809.82,2739.77,524.53,25585.84
2023-02-01,Ahmedabad,11276.58,2598.05,5814.07,1834.86,97.27,810.26,2741.27,524.82,25599.92
2023-03-01,Ahmedabad,11314.63,2606.82,5833.68,1841.05,97.37,813.0,2750.52,526.59,25686.29
2023-04-01,Ahmedabad,11144.62,2567.65,5746.03,1813.39,97.19,800.78,2709.2,518.68,25300.35
2023-05-01,Ahmedabad,11196.55,2579.61,5772.8,1821.84,97.14,804.51,2721.82,521.09,25418.22
2023-06-01,Ahmedabad,11274.55,2597.58,5813.02,1834.53,97.51,810.12,2740.78,524.72,25595.3
2023-07-01,Ahmedabad,11279.82,2598.8,5815.74,1835.39,97.3,810.5,2742.06,524.97,25607.27
2023-08-01,Ahmedabad,11326.16,2609.47,5839.63,1842.93,97.58,813.83,2753.33,527.13,25712.47
2023-09-01,Ahmedabad,11274.59,2597.59,5813.04,1834.54,97.25,810.12,2740.79,524.73,25595.4
2023-10-01,Ahmedabad,11282.08,2599.32,5816.9,1835.76,97.06,810.66,2742.61,525.07,25612.4
2023-11-01,Ahmedabad,11238.22,2589.21,5794.29,1828.62,96.56,807.51,2731.95,523.03,25512.83
2023-12-01,Ahmedabad,11220.91,2585.22,5785.36,1825.8,96.7,806.26,2727.74,522.23,25473.52
2024-01-01,Ahmedabad,11352.18,2615.47,5853.04,1847.16,97.28,815.7,2759.65,528.34,25771.53
2024-02-01,Ahmedabad,11274.43,2597.55,5812.95,1834.51,97.01,810.11,2740.75,524.72,25595.02
2024-03-01,Ahmedabad,11283.19,2599.57,5817.47,1835.94,96.98,810.74,2742.88,525.13,25614.93
2024-04-01,Ahmedabad,11291.31,2601.45,5821.66,1837.26,97.29,811.32,2744.86,525.5,25633.36
2024-05-01,Ahmedabad,11233.03,2588.02,5791.61,1827.77,96.97,807.13,2730.69,522.79,25501.04
